row_id,prefix_end,prefix_text,current_token,stage,is_full_sentence,label,type,location,computed_location,cue_relative_position,global_prefix_id,sentence,location_matches,ambiguous_lemma,cue_start_lemma,cue_end_lemma,lemma_split,morphological_parsing,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,cue_length_tokens,ambiguity_length_tokens,token_distance,overlap,matched_ambiguous,matched_cue,amb_token_text,cue_token_text,n_tokens,tokens_json,tracked_token_index,tracked_token_text,tracked_region,ambiguity_vector_available
1,24,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti ev arama idi.,.,full_sentence,True,nominalizer,syntactic,before,before,-4,54,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti ev arama idi.,True,arama,niyeti,niyeti,ara-ma,ara-NMLZ,62,67,52,58,21,22,17,19,3,2,4,False,arama,niyeti,Ġar ama,Ġni yet i,25,"[""G"", ""idi"", ""y"", ""ord"", ""u"", ""Ġama"", ""Ġbiz"", ""im"", ""Ġkir"", ""ac"", ""Ä±nÄ±n"", ""Ġda"", ""Ġda"", ""ire"", ""ĠdÃ¶nÃ¼ÅŁ"", ""ler"", ""inde"", ""Ġni"", ""yet"", ""i"", ""Ġev"", ""Ġar"", ""ama"", ""Ġidi"", "".""]",24,.,post_cue_or_post_ambiguity,True
17,38,"Abone, kendisine verilen yeni SIM kartını, sakın bu kartı taşıma diye uyarılmadığı için makinesine takarak kullanmaya başlıyor.",.,full_sentence,True,negation,syntactic,before,before,-3,357,"Abone, kendisine verilen yeni SIM kartını, sakın bu kartı taşıma diye uyarılmadığı için makinesine takarak kullanmaya başlıyor.",True,taşıma,bu,için,taşı-ma,taşı-NEG.IMP.2SG,58,64,49,87,18,19,15,26,12,2,3,True,taşıma,bu kartı taşıma diye uyarılmadığı için,ĠtaÅŁÄ± ma,Ġbu Ġkart Ä± ĠtaÅŁÄ± ma Ġdi ye Ġuyar Ä±lm ad Ä±ÄŁÄ± ĠiÃ§in,39,"[""Ab"", ""one"", "","", ""Ġkend"", ""is"", ""ine"", ""Ġver"", ""ilen"", ""Ġyeni"", ""ĠSIM"", ""Ġkart"", ""Ä±nÄ±"", "","", ""Ġsak"", ""Ä±n"", ""Ġbu"", ""Ġkart"", ""Ä±"", ""ĠtaÅŁÄ±"", ""ma"", ""Ġdi"", ""ye"", ""Ġuyar"", ""Ä±lm"", ""ad"", ""Ä±ÄŁÄ±"", ""ĠiÃ§in"", ""Ġmak"", ""ines"", ""ine"", ""Ġtak"", ""arak"", ""Ġkullan"", ""m"", ""aya"", ""ĠbaÅŁ"", ""lÄ±"", ""yor"", "".""]",38,.,post_cue_or_post_ambiguity,True
28,38,Ayrıca aralarında Türklerin de bulunduğu bir briç takımları varmış ve briç oynarken sen Türkçe konuşma diye çok çaba harcamışlar.,.,full_sentence,True,negation,syntactic,before,before,-2,658,Ayrıca aralarında Türklerin de bulunduğu bir briç takımları varmış ve briç oynarken sen Türkçe konuşma diye çok çaba harcamışlar.,True,konuşma,sen,sen,konuş-ma,konuş-NEG.IMP.2SG,95,102,84,87,28,28,26,26,1,1,2,False,konuşma,sen,ĠkonuÅŁma,Ġsen,39,"[""A"", ""yrÄ±ca"", ""Ġar"", ""alar"", ""Ä±nda"", ""ĠTÃ¼rk"", ""ler"", ""in"", ""Ġde"", ""ĠbulunduÄŁu"", ""Ġbir"", ""Ġbri"", ""Ã§"", ""Ġtak"", ""Ä±"", ""ml"", ""arÄ±"", ""Ġvar"", ""mÄ±ÅŁ"", ""Ġve"", ""Ġbri"", ""Ã§"", ""Ġo"", ""yn"", ""ark"", ""en"", ""Ġsen"", ""ĠTÃ¼rkÃ§e"", ""ĠkonuÅŁma"", ""Ġdi"", ""ye"", ""ĠÃ§ok"", ""ĠÃ§"", ""aba"", ""Ġhar"", ""cam"", ""Ä±ÅŁ"", ""lar"", "".""]",38,.,post_cue_or_post_ambiguity,True
29,31,Fakat ona etki eden duygusal tepkime sonucu nefes faktörünün devreye girmesidir.,.,full_sentence,True,nominalizer,syntactic,before,before,-9,690,Fakat ona etki eden duygusal tepkime sonucu nefes faktörünün devreye girmesidir.,True,tepkime,ona,duygusal,tepki-me,tepki-NMLZ,29,36,6,28,12,14,3,11,9,3,9,False,tepkime,ona etki eden duygusal,Ġtep k ime,Ġon a Ġet ki Ġed en Ġdu yg usal,32,"[""F"", ""ak"", ""at"", ""Ġon"", ""a"", ""Ġet"", ""ki"", ""Ġed"", ""en"", ""Ġdu"", ""yg"", ""usal"", ""Ġtep"", ""k"", ""ime"", ""Ġson"", ""uc"", ""u"", ""Ġnef"", ""es"", ""Ġfakt"", ""Ã¶r"", ""Ã¼nÃ¼n"", ""Ġdev"", ""rey"", ""e"", ""Ġg"", ""irm"", ""es"", ""id"", ""ir"", "".""]",31,.,post_cue_or_post_ambiguity,True
36,16,"Seven merak eder, merak etme aşkın doğasında vardır.",.,full_sentence,True,nominalizer,semantic,before,before,-2,750,"Seven merak eder, merak etme aşkın doğasında vardır.",True,etme,merak,merak,et-me,et-NMLZ,24,28,18,23,8,9,6,7,2,2,2,False,etme,merak,Ġet me,Ġmer ak,17,"[""Seven"", ""Ġmer"", ""ak"", ""Ġed"", ""er"", "","", ""Ġmer"", ""ak"", ""Ġet"", ""me"", ""ĠaÅŁk"", ""Ä±n"", ""ĠdoÄŁ"", ""as"", ""Ä±nda"", ""ĠvardÄ±r"", "".""]",16,.,post_cue_or_post_ambiguity,True
37,32,Dönemin Tercüman gazetesinde sistemli olarak Pol-Der aleyhine bir karalama kampanyası yürütülüyordu.,.,full_sentence,True,nominalizer,syntactic,before,before,-8,783,Dönemin Tercüman gazetesinde sistemli olarak Pol-Der aleyhine bir karalama kampanyası yürütülüyordu.,True,karalama,Pol-Der,bir,karala-ma,karala-NMLZ,66,74,45,65,21,23,13,20,8,3,8,False,karalama,Pol-Der aleyhine bir,Ġkar al ama,ĠPol -D er Ġa ley h ine Ġbir,33,"[""D"", ""Ã¶n"", ""emin"", ""ĠT"", ""erc"", ""Ã¼"", ""man"", ""Ġgaz"", ""etes"", ""inde"", ""Ġsistem"", ""li"", ""Ġolarak"", ""ĠPol"", ""-D"", ""er"", ""Ġa"", ""ley"", ""h"", ""ine"", ""Ġbir"", ""Ġkar"", ""al"", ""ama"", ""Ġkam"", ""pany"", ""asÄ±"", ""ĠyÃ¼rÃ¼t"", ""Ã¼lÃ¼"", ""y"", ""ord"", ""u"", "".""]",32,.,post_cue_or_post_ambiguity,True
46,13,"Hava çok soğuk, sen sakın evden çıkma.",.,full_sentence,True,negation,semantic,before,before,-5,937,"Hava çok soğuk, sen sakın evden çıkma.",True,çıkma,sen,evden,çık-ma,çık-NEG.IMP.2SG,32,37,16,31,12,12,7,11,5,1,5,False,çıkma,sen sakın evden,ĠÃ§Ä±kma,Ġsen Ġsak Ä±n Ġev den,14,"[""H"", ""ava"", ""ĠÃ§ok"", ""Ġso"", ""ÄŁ"", ""uk"", "","", ""Ġsen"", ""Ġsak"", ""Ä±n"", ""Ġev"", ""den"", ""ĠÃ§Ä±kma"", "".""]",13,.,post_cue_or_post_ambiguity,True
51,23,"Nerede güzel görsen ona çevrilme , bizim ilde cana kıyan beyler var",Ġvar,full_sentence,True,negation,syntactic,before,before,-2,1008,"Nerede güzel görsen ona çevrilme , bizim ilde cana kıyan beyler var",True,çevrilme,ona,ona,çevril-me / çevir-il-me,çevril-NEG.IMP.2SG / çev-PASS-NEG.IMP.2SG,24,32,20,23,9,11,7,8,2,3,2,False,çevrilme,ona,ĠÃ§ev ril me,Ġon a,24,"[""N"", ""ered"", ""e"", ""ĠgÃ¼zel"", ""ĠgÃ¶"", ""rs"", ""en"", ""Ġon"", ""a"", ""ĠÃ§ev"", ""ril"", ""me"", ""Ġ,"", ""Ġbiz"", ""im"", ""Ġil"", ""de"", ""Ġcan"", ""a"", ""ĠkÄ±"", ""yan"", ""Ġbey"", ""ler"", ""Ġvar""]",23,Ġvar,post_cue_or_post_ambiguity,True
54,21,"Geceleyin belanı arama , haydi nerden geldinse bas git oraya .",Ġ.,full_sentence,True,negation,syntactic,before,before,-3,1059,"Geceleyin belanı arama , haydi nerden geldinse bas git oraya .",True,arama,belanı,belanı,ara-ma,ara-NEG.IMP.2SG,17,22,10,16,7,8,4,6,3,2,3,False,arama,belanı,Ġar ama,Ġbel an Ä±,22,"[""Ge"", ""ce"", ""ley"", ""in"", ""Ġbel"", ""an"", ""Ä±"", ""Ġar"", ""ama"", ""Ġ,"", ""Ġhay"", ""di"", ""Ġner"", ""den"", ""Ġgeld"", ""in"", ""se"", ""Ġbas"", ""Ġgit"", ""Ġor"", ""aya"", ""Ġ.""]",21,Ġ.,post_cue_or_post_ambiguity,True
56,16,Her dilbere meyil verme / Ya sevilir ya sevilmez,mez,full_sentence,True,negation,syntactic,before,before,-6,1097,Her dilbere meyil verme / Ya sevilir ya sevilmez,True,verme,Her,meyil,ver-me,ver-NEG.IMP.2SG,18,23,0,17,6,7,0,5,6,2,6,False,verme,Her dilbere meyil,Ġver me,Her Ġdil bere Ġme y il,17,"[""Her"", ""Ġdil"", ""bere"", ""Ġme"", ""y"", ""il"", ""Ġver"", ""me"", ""Ġ/"", ""ĠYa"", ""Ġse"", ""vil"", ""ir"", ""Ġya"", ""Ġse"", ""vil"", ""mez""]",16,mez,post_cue_or_post_ambiguity,True
