row_id,token_index,token,token_id,char_start,char_end,text_span,in_ambiguous_span,in_cue_span
0,0,G,38,0,1,G,False,False
0,1,idi,12558,1,4,idi,False,False
0,2,y,88,4,5,y,False,False
0,3,ord,541,5,8,ord,False,False
0,4,u,84,8,9,u,False,False
0,5,Ġama,71862,9,13, ama,False,False
0,6,Ġbizim,110945,13,19, bizim,False,False
0,7,Ġkir,73730,19,23, kir,False,False
0,8,acÄ±,103063,23,26,acı,False,False
0,9,Ġda,3067,26,29, da,False,False
0,10,Ġda,3067,29,32, da,False,False
0,11,ire,556,32,35,ire,False,False
0,12,ĠdÃ¶nÃ¼ÅŁ,107845,35,41, dönüş,False,False
0,13,lerinde,103994,41,48,lerinde,False,False
0,14,Ġev,3721,48,51, ev,False,False
0,15,Ġar,802,51,54, ar,True,False
0,16,ama,3105,54,57,ama,True,False
0,17,Ġni,13080,57,60, ni,False,True
0,18,yet,47492,60,63,yet,False,True
0,19,iyle,101246,63,67,iyle,False,True
0,20,Ġhareket,105521,67,75, hareket,False,False
0,21,Ġed,1608,75,78, ed,False,False
0,22,iy,16618,78,80,iy,False,False
0,23,ord,541,80,83,ord,False,False
0,24,u,84,83,84,u,False,False
0,25,.,13,84,85,.,False,False
1,0,G,38,0,1,G,False,False
1,1,idi,12558,1,4,idi,False,False
1,2,y,88,4,5,y,False,False
1,3,ord,541,5,8,ord,False,False
1,4,u,84,8,9,u,False,False
1,5,Ġama,71862,9,13, ama,False,False
1,6,Ġbizim,110945,13,19, bizim,False,False
1,7,Ġkir,73730,19,23, kir,False,False
1,8,ac,582,23,25,ac,False,False
1,9,Ä±nÄ±n,80726,25,29,ının,False,False
1,10,Ġda,3067,29,32, da,False,False
1,11,Ġda,3067,32,35, da,False,False
1,12,ire,556,35,38,ire,False,False
1,13,ĠdÃ¶nÃ¼ÅŁ,107845,38,44, dönüş,False,False
1,14,lerinde,103994,44,51,lerinde,False,False
1,15,Ġni,13080,51,54, ni,False,True
1,16,yet,47492,54,57,yet,False,True
1,17,i,72,57,58,i,False,True
1,18,Ġev,3721,58,61, ev,False,False
1,19,Ġar,802,61,64, ar,True,False
1,20,ama,3105,64,67,ama,True,False
1,21,Ġidi,41760,67,71, idi,False,False
1,22,.,13,71,72,.,False,False
3,0,Ben,25584,0,3,Ben,False,False
3,1,zer,7215,3,6,zer,False,False
3,2,Ġbir,15606,6,10, bir,False,False
3,3,Ġev,3721,10,13, ev,False,False
3,4,Ġtopl,105706,13,18, topl,True,False
3,5,ama,3105,18,21,ama,True,False
3,6,Ġe,384,21,23, e,False,True
3,7,fs,3933,23,25,fs,False,True
3,8,anes,14997,25,29,anes,False,True
3,9,ine,483,29,32,ine,False,True
3,10,Ġde,409,32,35, de,False,False
3,11,ĠE,469,35,37, E,False,False
3,12,ski,33639,37,40,ski,False,False
3,13,ÅŁehir,118327,40,45,şehir,False,False
3,14,'d,4265,45,47,'d,False,False
3,15,e,68,47,48,e,False,False
3,16,ĠÃ¶ÄŁrenc,109831,48,55, öğrenc,False,False
3,17,iy,16618,55,57,iy,False,False
3,18,ken,2779,57,60,ken,False,False
3,19,ĠÅŁah,116084,60,64, şah,False,False
3,20,it,275,64,66,it,False,False
3,21,Ġol,8492,66,69, ol,False,False
3,22,mu,15479,69,71,mu,False,False
3,23,ÅŁt,48497,71,73,şt,False,False
3,24,um,372,73,75,um,False,False
3,25,.,13,75,76,.,False,False
4,0,Ben,25584,0,3,Ben,False,False
4,1,zer,7215,3,6,zer,False,False
4,2,Ġbir,15606,6,10, bir,False,False
4,3,Ġev,3721,10,13, ev,False,False
4,4,Ġtopl,105706,13,18, topl,True,False
4,5,ama,3105,18,21,ama,True,False
