row_id,prefix_end,prefix_text,current_token,stage,is_full_sentence,label,type,location,computed_location,cue_relative_position,global_prefix_id,sentence,location_matches,ambiguous_lemma,cue_start_lemma,cue_end_lemma,lemma_split,morphological_parsing,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,cue_length_tokens,ambiguity_length_tokens,token_distance,overlap,matched_ambiguous,matched_cue,amb_token_text,cue_token_text,n_tokens,tokens_json,tracked_token_index,tracked_token_text,tracked_region,ambiguity_vector_available
36,11,"Seven merak eder, merak etme aşkın doğasında vardır.",.,full_sentence,True,nominalizer,semantic,before,before,-1,617,"Seven merak eder, merak etme aşkın doğasında vardır.",True,etme,merak,merak,et-me,et-NMLZ,24,28,18,23,5,5,4,4,1,1,1,False,etme,merak,▁etme,▁merak,12,"[""Seven"", ""▁merak"", ""▁eder"", "","", ""▁merak"", ""▁etme"", ""▁aşk"", ""ın"", ""▁doğ"", ""asında"", ""▁vardır"", "".""]",11,.,post_cue_or_post_ambiguity,True
46,13,"Hava çok soğuk, sen sakın evden çıkma.",.,full_sentence,True,negation,semantic,before,before,-5,781,"Hava çok soğuk, sen sakın evden çıkma.",True,çıkma,sen,evden,çık-ma,çık-NEG.IMP.2SG,32,37,16,31,11,12,6,10,5,2,5,False,çıkma,sen sakın evden,▁çık ma,▁sen ▁sak ın ▁ev den,14,"[""H"", ""ava"", ""▁çok"", ""▁soğ"", ""uk"", "","", ""▁sen"", ""▁sak"", ""ın"", ""▁ev"", ""den"", ""▁çık"", ""ma"", "".""]",13,.,post_cue_or_post_ambiguity,True
113,30,"Eğer esnafın öfkesini üzerine çekmek istemiyorsan sana nasihatim belli canım evladım, fiyat kırma.",.,full_sentence,True,negation,semantic,before,before,-12,1537,"Eğer esnafın öfkesini üzerine çekmek istemiyorsan sana nasihatim belli canım evladım, fiyat kırma.",True,kırma,sana,fiyat,kır-ma,kır-NEG.IMP.2SG,92,97,50,91,28,29,16,27,12,2,12,False,kırma,"sana nasihatim belli canım evladım, fiyat",▁kır ma,"▁sana ▁nasi hat im ▁belli ▁can ım ▁ev lad ım , ▁fiyat",31,"[""E"", ""ğer"", ""▁es"", ""naf"", ""ın"", ""▁öf"", ""kes"", ""ini"", ""▁üzerine"", ""▁çek"", ""mek"", ""▁is"", ""tem"", ""iy"", ""ors"", ""an"", ""▁sana"", ""▁nasi"", ""hat"", ""im"", ""▁belli"", ""▁can"", ""ım"", ""▁ev"", ""lad"", ""ım"", "","", ""▁fiyat"", ""▁kır"", ""ma"", "".""]",30,.,post_cue_or_post_ambiguity,True
115,37,"İran savaşı sadece İran’a karşı değil bütün insanlığa karşı açılmış bir savaşın ilk cephesi, Türkiye'yi bu savaşa taraf ya da dahil etme.",.,full_sentence,True,negation,semantic,before,before,-10,1592,"İran savaşı sadece İran’a karşı değil bütün insanlığa karşı açılmış bir savaşın ilk cephesi, Türkiye'yi bu savaşa taraf ya da dahil etme.",True,etme,Türkiye'yi,dahil,et-me,et-NEG.IMP.2SG,132,136,93,131,36,36,26,35,10,1,10,False,etme,Türkiye'yi bu savaşa taraf ya da dahil,▁etme,▁Türkiye ' yi ▁bu ▁sava şa ▁taraf ▁ya ▁da ▁dahil,38,"[""İ"", ""ran"", ""▁sava"", ""şı"", ""▁sadece"", ""▁İ"", ""ran"", ""’"", ""a"", ""▁karşı"", ""▁değil"", ""▁bütün"", ""▁insan"", ""lı"", ""ğa"", ""▁karşı"", ""▁aç"", ""ılmış"", ""▁bir"", ""▁savaş"", ""ın"", ""▁ilk"", ""▁cep"", ""he"", ""si"", "","", ""▁Türkiye"", ""'"", ""yi"", ""▁bu"", ""▁sava"", ""şa"", ""▁taraf"", ""▁ya"", ""▁da"", ""▁dahil"", ""▁etme"", "".""]",37,.,post_cue_or_post_ambiguity,True
117,35,"Millet eline bayrak verdiyse o bayrağı bırakmayacaksın, döneklik yapma milletin sana en çok ihtiyacı olan şu günlerde.",.,full_sentence,True,negation,semantic,before,before,-13,1628,"Millet eline bayrak verdiyse o bayrağı bırakmayacaksın, döneklik yapma milletin sana en çok ihtiyacı olan şu günlerde.",True,yapma,o,döneklik,yap-ma,yap-NEG.IMP.2SG,65,70,29,64,22,23,9,21,13,2,13,False,yapma,"o bayrağı bırakmayacaksın, döneklik",▁yap ma,"▁o ▁bay ra ğı ▁bırak may ac aks ın , ▁dö nek lik",36,"[""M"", ""illet"", ""▁el"", ""ine"", ""▁bay"", ""rak"", ""▁ver"", ""diy"", ""se"", ""▁o"", ""▁bay"", ""ra"", ""ğı"", ""▁bırak"", ""may"", ""ac"", ""aks"", ""ın"", "","", ""▁dö"", ""nek"", ""lik"", ""▁yap"", ""ma"", ""▁mil"", ""letin"", ""▁sana"", ""▁en"", ""▁çok"", ""▁ihtiyac"", ""ı"", ""▁olan"", ""▁şu"", ""▁gün"", ""lerde"", "".""]",35,.,post_cue_or_post_ambiguity,True
118,40,"Ruhi Su’nun en bilinen eserlerinden biri olan bu parça, Gülcan Altan’ın yeni yorumuyla bugün dinleyiciyle buluştu, dinleme fırsatını kaçırma!",!,full_sentence,True,negation,semantic,before,before,-5,1669,"Ruhi Su’nun en bilinen eserlerinden biri olan bu parça, Gülcan Altan’ın yeni yorumuyla bugün dinleyiciyle buluştu, dinleme fırsatını kaçırma!",True,kaçırma,dinleme,fırsatını,kaçır-ma,kaçır-NEG.IMP.2SG,133,140,115,132,37,39,32,36,5,3,5,False,kaçırma,dinleme fırsatını,▁kaç ır ma,▁din leme ▁fırs at ını,41,"[""Ru"", ""hi"", ""▁Su"", ""’"", ""nun"", ""▁en"", ""▁bil"", ""inen"", ""▁eser"", ""lerinden"", ""▁biri"", ""▁olan"", ""▁bu"", ""▁parça"", "","", ""▁Gül"", ""can"", ""▁Al"", ""tan"", ""’"", ""ın"", ""▁yeni"", ""▁yorum"", ""uyla"", ""▁bugün"", ""▁din"", ""leyici"", ""yle"", ""▁bul"", ""uş"", ""tu"", "","", ""▁din"", ""leme"", ""▁fırs"", ""at"", ""ını"", ""▁kaç"", ""ır"", ""ma"", ""!""]",40,!,post_cue_or_post_ambiguity,True
121,32,"Yok solucan olsam beni sever misin, yok 250 kilo olsam beni beğenir misin, adamı delirtme Emine!",!,full_sentence,True,negation,semantic,before,before,-17,1726,"Yok solucan olsam beni sever misin, yok 250 kilo olsam beni beğenir misin, adamı delirtme Emine!",True,delirtme,Yok,adamı,delirt-me,delirt-NEG.IMP.2SG,81,89,36,80,27,29,10,26,17,3,17,False,delirtme,"yok 250 kilo olsam beni beğenir misin, adamı",▁deli rt me,"▁yok ▁ 2 5 0 ▁kilo ▁ols am ▁beni ▁beğ en ir ▁mis in , ▁adam ı",33,"[""Yok"", ""▁solu"", ""can"", ""▁ols"", ""am"", ""▁beni"", ""▁sever"", ""▁mis"", ""in"", "","", ""▁yok"", ""▁"", ""2"", ""5"", ""0"", ""▁kilo"", ""▁ols"", ""am"", ""▁beni"", ""▁beğ"", ""en"", ""ir"", ""▁mis"", ""in"", "","", ""▁adam"", ""ı"", ""▁deli"", ""rt"", ""me"", ""▁E"", ""mine"", ""!""]",32,!,post_cue_or_post_ambiguity,True
122,27,"Akademisyen dediğin yazdığı kadar da okur, okuma akademisyenin en önemli işlerinden biridir.",.,full_sentence,True,nominalizer,semantic,before,before,-8,1754,"Akademisyen dediğin yazdığı kadar da okur, okuma akademisyenin en önemli işlerinden biridir.",True,okuma,yazdığı,okur,oku-ma,oku-NMLZ,43,48,20,41,15,16,7,13,7,2,8,False,okuma,yazdığı kadar da okur,▁oku ma,▁yaz d ığı ▁kadar ▁da ▁ok ur,28,"[""A"", ""kade"", ""mis"", ""yen"", ""▁de"", ""diğ"", ""in"", ""▁yaz"", ""d"", ""ığı"", ""▁kadar"", ""▁da"", ""▁ok"", ""ur"", "","", ""▁oku"", ""ma"", ""▁akade"", ""mis"", ""yen"", ""in"", ""▁en"", ""▁önemli"", ""▁iş"", ""lerinden"", ""▁biri"", ""dir"", "".""]",27,.,post_cue_or_post_ambiguity,True
123,18,"ARGE'nin anlamında ben araştırma var diye biliyorum, yanlış mıyım?",?,full_sentence,True,nominalizer,semantic,before,before,-7,1773,"ARGE'nin anlamında ben araştırma var diye biliyorum, yanlış mıyım?",True,araştırma,ARGE'nin,anlamında,araştır-ma,araştır-NMLZ,23,32,0,18,7,8,0,5,6,2,7,False,araştırma,ARGE'nin anlamında,▁araştır ma,AR GE ' nin ▁anlam ında,19,"[""AR"", ""GE"", ""'"", ""nin"", ""▁anlam"", ""ında"", ""▁ben"", ""▁araştır"", ""ma"", ""▁var"", ""▁diye"", ""▁bili"", ""yorum"", "","", ""▁yanlış"", ""▁m"", ""ıy"", ""ım"", ""?""]",18,?,post_cue_or_post_ambiguity,True
125,15,Hürmüz'de satranç: Abluka mı anlaşma mı?,?,full_sentence,True,nominalizer,semantic,before,before,-3,1823,Hürmüz'de satranç: Abluka mı anlaşma mı?,True,anlaşma,Abluka,mı,anlaş-ma,anlaş-NMLZ,29,36,19,28,12,13,9,11,3,2,3,False,anlaşma,Abluka mı,▁anlaş ma,▁Ab luka ▁mı,16,"[""Hü"", ""rm"", ""üz"", ""'"", ""de"", ""▁sat"", ""ran"", ""ç"", "":"", ""▁Ab"", ""luka"", ""▁mı"", ""▁anlaş"", ""ma"", ""▁mı"", ""?""]",15,?,post_cue_or_post_ambiguity,True
