split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.3958333333333333,0.4387114537444934,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5724020442930153,False,189,171,147,80
0,42,1,0.5208333333333333,0.3866189427312775,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6626916524701874,False,207,153,182,45
0,42,2,0.5208333333333333,0.3519823788546256,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.514480408858603,False,144,216,158,69
0,42,3,0.5,0.3562041116005874,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5945485519591142,False,174,186,175,52
0,42,4,0.5,0.3336025452765541,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.606473594548552,False,172,188,184,43
0,42,5,0.47916666666666663,0.45739720998531574,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6746166950596252,False,231,129,165,62
0,42,6,0.625,0.4949400391581008,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6678023850085179,False,239,121,153,74
0,42,7,0.7083333333333333,0.47567914831130687,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5604770017035775,False,195,165,134,93
0,42,8,0.7083333333333333,0.5556045031815957,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5792163543441227,False,224,136,116,111
0,42,9,0.7708333333333333,0.6625489476260402,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.7103918228279387,False,301,59,116,111
0,42,10,0.7708333333333333,0.5812347038668625,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6899488926746167,False,271,89,134,93
0,42,11,0.8333333333333333,0.5928108174253548,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5587734241908007,False,227,133,101,126
0,42,12,0.7083333333333333,0.5556045031815957,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5792163543441227,False,224,136,116,111
0,42,13,0.6458333333333333,0.5920949583945179,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5843270868824532,False,236,124,107,120
0,42,14,0.7083333333333333,0.5340553108174253,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5792163543441227,False,218,142,122,105
0,42,15,0.7083333333333333,0.5561368086147822,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.637137989778535,False,245,115,129,98
0,42,16,0.8333333333333333,0.619267009300049,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.7938671209540034,False,319,41,147,80
0,42,17,0.8333333333333333,0.5470447870778268,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.7052810902896082,False,267,93,147,80
0,42,18,0.7708333333333333,0.5414892315222711,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6984667802385008,False,263,97,147,80
0,42,19,0.8333333333333333,0.5539892315222712,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.7137989778534923,False,272,88,147,80
0,42,20,0.8333333333333333,0.5738130200685266,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6984667802385008,False,272,88,138,89
0,42,21,0.8333333333333333,0.5738130200685266,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6984667802385008,False,272,88,138,89
0,42,22,0.8333333333333333,0.5738130200685266,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6984667802385008,False,272,88,138,89
0,42,23,0.7708333333333333,0.5613130200685267,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6831345826235093,False,263,97,138,89
0,42,24,0.7708333333333333,0.5613130200685267,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6831345826235093,False,263,97,138,89
0,42,25,0.7708333333333333,0.5613130200685267,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6831345826235093,False,263,97,138,89
0,42,26,0.7083333333333333,0.5488130200685267,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6678023850085179,False,254,106,138,89
0,42,27,0.7083333333333333,0.5488130200685267,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6678023850085179,False,254,106,138,89
0,42,28,0.7708333333333333,0.6009605971610377,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6524701873935264,False,263,97,120,107
0,42,29,0.7083333333333333,0.6149351443954969,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5638841567291312,False,235,125,96,131
0,42,30,0.7916666666666667,0.6281510034263338,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5536626916524702,False,235,125,90,137
0,42,31,0.7083333333333333,0.6056901615271659,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.534923339011925,False,222,138,92,135
0,42,32,0.7083333333333333,0.6255139500734215,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5195911413969335,False,222,138,83,144
0,42,33,0.7916666666666667,0.6215002447381301,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6115843270868825,False,254,106,105,122
0,42,34,0.7916666666666667,0.6475403817914831,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5025553662691652,False,222,138,73,154
0,42,35,0.7291666666666667,0.5683737151248165,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5945485519591142,False,165,195,73,154
0,42,36,0.7291666666666667,0.5683737151248165,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5945485519591142,False,165,195,73,154
0,42,37,0.7291666666666667,0.5683737151248165,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5945485519591142,False,165,195,73,154
0,42,38,0.7291666666666667,0.5881975036710719,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6098807495741057,False,165,195,64,163
0,42,39,0.7916666666666667,0.586429270680372,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5724020442930153,False,178,182,73,154
0,42,40,0.7916666666666667,0.586429270680372,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5724020442930153,False,178,182,73,154
0,42,41,0.7083333333333333,0.526395007342144,40,14,587,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.596252129471891,False,222,138,128,99
1,43,0,0.2625,0.31874290900839575,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5955056179775281,False,157,182,161,34
1,43,1,0.4125,0.3792829589289766,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6928838951310862,False,205,134,165,30
1,43,2,0.425,0.38824597231676883,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6273408239700374,False,185,154,150,45
1,43,3,0.65,0.42203312911277513,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6292134831460674,False,194,145,142,53
1,43,4,0.75,0.44240980258679374,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5730337078651685,False,180,159,126,69
1,43,5,0.65,0.40138416156115275,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.602996254681648,False,180,159,142,53
1,43,6,0.7375,0.40415248468345816,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6629213483146067,False,201,138,153,42
1,43,7,0.7375,0.43365100975720444,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.700374531835206,False,221,118,153,42
1,43,8,0.7375,0.4259587020648967,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7059925093632958,False,221,118,156,39
1,43,9,0.6375,0.3734513274336283,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7059925093632958,False,208,131,169,26
1,43,10,0.6375,0.4123213070115725,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.8014981273408239,False,250,89,178,17
1,43,11,0.6375,0.37889720898570456,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6872659176029963,False,203,136,164,31
1,43,12,0.7375,0.44955752212389377,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7359550561797753,False,237,102,156,39
1,43,13,0.675,0.45936010891763107,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.702247191011236,False,228,111,147,48
1,43,14,0.575,0.454027683231223,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6441947565543071,False,207,132,137,58
1,43,15,0.7375,0.5339459950079419,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.8277153558052435,False,289,50,153,42
1,43,16,0.7375,0.48000907646925345,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7284644194756554,False,242,97,147,48
1,43,17,0.6375,0.46984343090537783,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.8745318352059925,False,289,50,178,17
1,43,18,0.7375,0.5083049693669163,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.846441947565543,False,289,50,163,32
1,43,19,0.6375,0.4054458815520762,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7209737827715356,False,221,118,164,31
1,43,20,0.6375,0.43641933287950985,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7602996254681648,False,242,97,164,31
1,43,21,0.6375,0.4747674154753801,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.8089887640449438,False,268,71,164,31
1,43,22,0.6375,0.46739278420694347,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.799625468164794,False,263,76,164,31
1,43,23,0.675,0.46673474018606764,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7116104868913857,False,233,106,147,48
1,43,24,0.675,0.45936010891763107,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.702247191011236,False,228,111,147,48
1,43,25,0.6375,0.45949625595643295,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7434456928838952,False,242,97,155,40
1,43,26,0.6375,0.45949625595643295,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7434456928838952,False,242,97,155,40
1,43,27,0.7375,0.4569321533923304,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7453183520599251,False,242,97,156,39
1,43,28,0.6375,0.43641933287950985,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7602996254681648,False,242,97,164,31
1,43,29,0.7375,0.49044701611073294,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6647940074906367,False,223,116,132,63
1,43,30,0.7375,0.49044701611073294,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6647940074906367,False,223,116,132,63
1,43,31,0.7375,0.4259587020648967,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7059925093632958,False,221,118,156,39
1,43,32,0.6375,0.4067846607669616,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6816479400749064,False,208,131,156,39
1,43,33,0.7375,0.436215112321307,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6985018726591761,False,221,118,152,43
1,43,34,0.7375,0.39006126616746084,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7322097378277154,False,221,118,170,25
1,43,35,0.675,0.48978897208985706,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5767790262172284,False,193,146,115,80
1,43,36,0.6125,0.43415021556614475,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6292134831460674,False,197,142,139,56
1,43,37,0.675,0.4474245518493306,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6460674157303371,False,206,133,139,56
1,43,38,0.575,0.38075788518266396,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6947565543071161,False,206,133,165,30
1,43,39,0.7375,0.37088722486952574,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7078651685393258,False,208,131,170,25
1,43,40,0.6375,0.4388699795779442,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.8352059925093633,False,268,71,178,17
1,43,41,0.5375,0.340117994100295,41,13,534,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7303370786516854,False,208,131,182,13
2,44,0,0.4027777777777778,0.4390871000507872,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5612052730696798,False,140,212,93,86
2,44,1,0.7083333333333333,0.5647457465718639,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5160075329566854,False,197,155,77,102
2,44,2,0.7083333333333333,0.4586401726764855,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5743879472693032,False,140,212,86,93
2,44,3,0.7222222222222222,0.40793232605383445,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.591337099811676,False,122,230,95,84
2,44,4,0.6527777777777778,0.333457656170645,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5951035781544256,False,103,249,112,67
2,44,5,0.4722222222222222,0.4274853986795327,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6045197740112994,False,122,230,88,91
2,44,6,0.8333333333333333,0.4154155027932961,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.536723163841808,False,143,209,103,76
2,44,7,0.8333333333333333,0.4537677755205688,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5141242937853108,False,170,182,103,76
2,44,8,0.8888888888888888,0.5006427755205688,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.576271186440678,False,203,149,103,76
2,44,9,0.8333333333333333,0.5985033646521076,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5216572504708098,False,207,145,70,109
2,44,10,0.9444444444444444,0.5211877856780092,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5141242937853108,False,186,166,87,92
2,44,11,0.9444444444444444,0.6100098400203149,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5536723163841808,False,221,131,73,106
2,44,12,0.8333333333333333,0.6071689309294058,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5499058380414312,False,219,133,73,106
2,44,13,0.8333333333333333,0.6574482605383444,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5160075329566854,False,219,133,55,124
2,44,14,0.8333333333333333,0.5827831386490604,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5103578154425612,False,192,160,68,111
2,44,15,0.8333333333333333,0.5346860716099543,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.615819209039548,False,225,127,102,77
2,44,16,0.6527777777777778,0.4804786693753174,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6836158192090396,False,236,116,127,52
2,44,17,0.8333333333333333,0.49738128491620115,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6892655367231638,False,242,110,124,55
2,44,18,0.7638888888888888,0.547001968004063,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.743879472693032,False,273,79,122,57
2,44,19,0.8888888888888888,0.5525885601828339,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7401129943502824,False,273,79,120,59
2,44,20,0.8888888888888888,0.5525885601828339,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7401129943502824,False,273,79,120,59
2,44,21,0.8888888888888888,0.5525885601828339,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7401129943502824,False,273,79,120,59
2,44,22,0.7083333333333333,0.547993905535805,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6949152542372882,False,256,96,113,66
2,44,23,0.8333333333333333,0.508554469273743,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6817325800376648,False,242,110,120,59
2,44,24,0.8888888888888888,0.5113953783646521,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6854990583804144,False,244,108,120,59
2,44,25,0.8333333333333333,0.508554469273743,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6817325800376648,False,242,110,120,59
2,44,26,0.8333333333333333,0.548604939055358,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.60075329566855,False,223,129,96,83
2,44,27,0.7083333333333333,0.5001745810055866,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.687382297551789,False,242,110,123,56
2,44,28,0.8333333333333333,0.48440674200101574,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6497175141242938,False,225,127,120,59
2,44,29,0.8333333333333333,0.5652218765871,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5725047080979284,False,217,135,87,92
2,44,30,0.8333333333333333,0.546755967496191,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5480225988700564,False,204,148,87,92
2,44,31,0.8333333333333333,0.5439626714068055,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5499058380414312,False,204,148,88,91
2,44,32,0.8333333333333333,0.5439626714068055,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5499058380414312,False,204,148,88,91
2,44,33,0.8333333333333333,0.5624285804977145,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5743879472693032,False,217,135,88,91
2,44,34,0.8333333333333333,0.5420660868461148,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5084745762711864,False,183,169,78,101
2,44,35,0.8333333333333333,0.5895521203656678,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5404896421845574,False,183,169,61,118
2,44,36,0.7777777777777778,0.5867112112747588,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.544256120527307,False,181,171,61,118
2,44,37,0.7777777777777778,0.6165407567293042,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.504708097928437,False,202,150,61,118
2,44,38,0.8333333333333333,0.5568816658202133,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.583804143126177,False,160,192,61,118
2,44,39,0.7777777777777778,0.5355748476383951,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6120527306967984,False,145,207,61,118
2,44,40,0.7777777777777778,0.5051818816658202,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.551789077212806,False,159,193,79,100
2,44,41,0.7083333333333333,0.57961687404774,41,13,531,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6139359698681732,False,235,117,91,88
3,45,0,0.45238095238095233,0.4288759800835575,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6478102189781022,False,206,140,149,53
3,45,1,0.45238095238095233,0.4358581811938419,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5675182481751825,False,180,166,131,71
3,45,2,0.5238095238095238,0.48119956504320954,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5583941605839416,False,148,198,94,108
3,45,3,0.5238095238095238,0.49838321982487266,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5821167883211679,False,201,145,118,84
3,45,4,0.5357142857142857,0.39771361529216503,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6332116788321168,False,193,153,154,48
3,45,5,0.5357142857142857,0.4245121043896297,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.572992700729927,False,179,167,135,67
3,45,6,0.7619047619047619,0.5138499399072856,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5620437956204379,False,198,148,110,92
3,45,7,0.7738095238095238,0.46144050821267096,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5602189781021898,False,184,162,123,79
3,45,8,0.7738095238095238,0.6139901562410576,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7281021897810219,False,281,65,118,84
3,45,9,0.7023809523809523,0.5702226291993361,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6678832116788321,False,249,97,117,85
3,45,10,0.6190476190476191,0.5268843358324271,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6478102189781022,False,231,115,124,78
3,45,11,0.8452380952380952,0.6768585818119384,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5748175182481752,False,244,102,71,131
3,45,12,0.6785714285714286,0.5583900875636696,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5054744525547445,False,186,160,85,117
3,45,13,0.5357142857142857,0.5107451496594746,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5383211678832117,False,189,157,106,96
3,45,14,0.5357142857142857,0.503519716133463,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.5291970802919708,False,184,162,106,96
3,45,15,0.6904761904761905,0.5741429634292909,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6678832116788321,False,250,96,116,86
3,45,16,0.7738095238095238,0.5108023808161163,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.677007299270073,False,237,109,134,68
3,45,17,0.7023809523809523,0.4654609969667487,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.8029197080291971,False,269,77,171,31
3,45,18,0.7023809523809523,0.5333800721112574,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.8886861313868614,False,316,30,171,31
3,45,19,0.6904761904761905,0.5236507754821725,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.8120437956204379,False,287,59,158,44
3,45,20,0.7023809523809523,0.479883248440451,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7518248175182481,False,255,91,157,45
3,45,21,0.7023809523809523,0.5700795513077319,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.8211678832116789,False,302,44,148,54
3,45,22,0.7738095238095238,0.5257254049104333,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.8394160583941606,False,297,49,163,39
3,45,23,0.7619047619047619,0.5165684198477651,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6496350364963503,False,229,117,127,75
3,45,24,0.7619047619047619,0.5035626395009443,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6332116788321168,False,220,126,127,75
3,45,25,0.7619047619047619,0.4949207348480513,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6916058394160584,False,238,108,141,61
3,45,26,0.6904761904761905,0.46584730727407997,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7390510948905109,False,247,99,158,44
3,45,27,0.9166666666666667,0.5145367137869856,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7262773722627737,False,255,91,143,59
3,45,28,0.8452380952380952,0.6418617295255536,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7682481751824818,False,302,44,119,83
3,45,29,0.7738095238095238,0.5539117495564585,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6423357664233577,False,236,110,116,86
3,45,30,0.7738095238095238,0.6352229153551193,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.6806569343065694,False,270,76,103,99
3,45,31,0.7738095238095238,0.6511188691123447,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.7007299270072993,False,281,65,103,99
3,45,32,0.7738095238095238,0.6252790018886282,41,13,548,41,13,43,ambiguity,cue_type,both,both,all_checkpoints,0.583941605839416,False,234,112,86,116
