split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.7291666666666667,0.5660564925270808,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6069078947368421,False,246,128,123,111
0,42,1,0.7083333333333333,0.5273321449792038,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6447368421052632,False,249,125,143,91
0,42,2,0.5625,0.5043420631655926,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.625,False,235,139,145,89
0,42,3,0.7916666666666667,0.5777800630741807,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5444078947368421,False,226,148,105,129
0,42,4,0.7291666666666667,0.5526875085698615,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5904605263157895,False,236,138,123,111
0,42,5,0.5833333333333333,0.5825449060743179,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5394736842105263,False,196,178,84,150
0,42,6,0.6458333333333333,0.5711412770236299,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.6217105263157895,False,253,121,125,109
0,42,7,0.6458333333333333,0.5980849216143334,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5394736842105263,False,230,144,98,136
0,42,8,0.6458333333333333,0.5579779697426757,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5098684210526315,False,200,174,98,136
0,42,9,0.7083333333333333,0.5619886649298413,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5049342105263158,False,203,171,98,136
0,42,10,0.6458333333333333,0.5579779697426757,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5098684210526315,False,200,174,98,136
0,42,11,0.7708333333333333,0.6127908039672746,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5575657894736842,False,241,133,98,136
0,42,12,0.7708333333333333,0.6261597879244938,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5740131578947368,False,251,123,98,136
0,42,13,0.7083333333333333,0.6020956168014993,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5444078947368421,False,233,141,98,136
0,42,14,0.7083333333333333,0.57700306229718,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5904605263157895,False,243,131,116,118
0,42,15,0.5833333333333333,0.5387357740298917,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5164473684210527,False,192,182,102,132
0,42,16,0.6458333333333333,0.5305087069792952,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5888157894736842,False,229,145,129,105
0,42,17,0.6458333333333333,0.5561154531742767,40,14,608,40,14,44,ambiguity,cue_type,both,both,all_checkpoints,0.5049342105263158,False,205,169,102,132
