split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.5,0.5069875776397516,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5294117647058824,False,11,12,13,15
0,42,1,0.5,0.5403726708074534,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6078431372549019,False,15,8,16,12
0,42,2,0.375,0.5442546583850931,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6470588235294118,False,16,7,17,11
0,42,3,0.625,0.5326086956521738,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5294117647058824,False,13,10,14,14
0,42,4,0.875,0.5683229813664596,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5098039215686274,False,13,10,12,16
0,42,5,1.0,0.514751552795031,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,13,10,15,13
0,42,6,1.0,0.5582298136645962,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5882352941176471,False,15,8,15,13
0,42,7,0.75,0.5760869565217391,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5686274509803921,False,15,8,14,14
0,42,8,1.0,0.6335403726708074,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,16,7,12,16
0,42,9,1.0,0.6296583850931676,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5098039215686274,False,15,8,11,17
0,42,10,0.875,0.6257763975155279,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5294117647058824,False,14,9,10,18
0,42,11,0.875,0.6436335403726708,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,14,9,9,19
0,42,12,0.875,0.6475155279503106,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5098039215686274,False,15,8,10,18
0,42,13,0.875,0.6335403726708074,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,16,7,12,16
0,42,14,0.875,0.6374223602484472,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5882352941176471,False,17,6,13,15
0,42,15,0.875,0.6770186335403727,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5882352941176471,False,18,5,12,16
0,42,16,1.0,0.6374223602484472,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5882352941176471,False,17,6,13,15
0,42,17,1.0,0.6909937888198758,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5294117647058824,False,17,6,10,18
0,42,18,1.0,0.6731366459627328,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,17,6,11,17
0,42,19,1.0,0.6731366459627328,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,17,6,11,17
0,42,20,1.0,0.6909937888198758,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5294117647058824,False,17,6,10,18
0,42,21,1.0,0.65527950310559,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5686274509803921,False,17,6,12,16
0,42,22,1.0,0.65527950310559,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5686274509803921,False,17,6,12,16
0,42,23,0.875,0.6731366459627328,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,17,6,11,17
0,42,24,1.0,0.6731366459627328,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,17,6,11,17
0,42,25,1.0,0.6731366459627328,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,17,6,11,17
0,42,26,1.0,0.6731366459627328,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,17,6,11,17
0,42,27,1.0,0.65527950310559,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5686274509803921,False,17,6,12,16
0,42,28,1.0,0.65527950310559,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5686274509803921,False,17,6,12,16
0,42,29,1.0,0.65527950310559,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5686274509803921,False,17,6,12,16
0,42,30,1.0,0.6195652173913043,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6078431372549019,False,17,6,14,14
0,42,31,1.0,0.6948757763975155,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5686274509803921,False,18,5,11,17
1,43,0,0.75,0.5465838509316769,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5294117647058824,False,12,11,12,16
1,43,1,0.75,0.5481366459627329,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6862745098039216,False,17,6,18,10
1,43,2,0.5,0.5442546583850931,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6470588235294118,False,16,7,17,11
1,43,3,0.75,0.5799689440993789,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6078431372549019,False,16,7,15,13
1,43,4,0.875,0.514751552795031,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,13,10,15,13
1,43,5,1.0,0.5582298136645962,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5882352941176471,False,15,8,15,13
1,43,6,1.0,0.6017080745341614,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6274509803921569,False,17,6,15,13
