split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.625,0.6459627329192547,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7254901960784313,False,10,13,4,24
0,42,1,0.75,0.642080745341615,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7647058823529411,False,9,14,3,25
0,42,2,0.75,0.656055900621118,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.8235294117647058,False,8,15,1,27
0,42,3,0.625,0.59472049689441,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.8431372549019608,False,6,17,2,26
0,42,4,0.75,0.5908385093167702,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.8823529411764706,False,5,18,1,27
0,42,5,0.75,0.6638198757763976,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7450980392156863,False,10,13,3,25
0,42,6,0.75,0.6816770186335404,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7647058823529411,False,10,13,2,26
0,42,7,0.75,0.6995341614906833,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7843137254901961,False,10,13,1,27
0,42,8,0.75,0.7290372670807453,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.6862745098039216,False,13,10,3,25
0,42,9,0.75,0.6638198757763976,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7450980392156863,False,10,13,3,25
0,42,10,1.0,0.7251552795031055,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7254901960784313,False,12,11,2,26
0,42,11,1.0,0.6855590062111802,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7254901960784313,False,11,12,3,25
0,42,12,1.0,0.6816770186335404,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7647058823529411,False,10,13,2,26
0,42,13,1.0,0.6995341614906833,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7843137254901961,False,10,13,1,27
0,42,14,1.0,0.6816770186335404,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7647058823529411,False,10,13,2,26
0,42,15,0.875,0.6816770186335404,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7647058823529411,False,10,13,2,26
0,42,16,0.875,0.6777950310559007,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.803921568627451,False,9,14,1,27
0,42,17,0.75,0.7212732919254659,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7647058823529411,False,11,12,1,27
0,42,18,1.0,0.6777950310559007,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.803921568627451,False,9,14,1,27
0,42,19,0.75,0.6777950310559007,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.803921568627451,False,9,14,1,27
0,42,20,0.5,0.6995341614906833,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7843137254901961,False,10,13,1,27
0,42,21,0.75,0.6816770186335404,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7647058823529411,False,10,13,2,26
0,42,22,0.5,0.6638198757763976,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7450980392156863,False,10,13,3,25
0,42,23,0.5,0.7290372670807453,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.6862745098039216,False,13,10,3,25
0,42,24,0.5,0.6638198757763976,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7450980392156863,False,10,13,3,25
0,42,25,0.375,0.7468944099378882,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7058823529411765,False,13,10,2,26
0,42,26,0.375,0.6715838509316769,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.6666666666666666,False,12,11,5,23
0,42,27,0.375,0.6715838509316769,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.6666666666666666,False,12,11,5,23
0,42,28,0.5,0.6459627329192547,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7254901960784313,False,10,13,4,24
0,42,29,0.5,0.6933229813664596,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.6470588235294118,False,13,10,5,23
0,42,30,0.5,0.6141304347826086,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.6470588235294118,False,11,12,7,21
0,42,31,0.5,0.6141304347826086,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.6470588235294118,False,11,12,7,21
0,42,32,0.5,0.5885093167701864,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.7058823529411765,False,9,14,6,22
0,42,33,0.5,0.6537267080745341,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.6470588235294118,False,12,11,6,22
0,42,34,0.5,0.592391304347826,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.6666666666666666,False,10,13,7,21
0,42,35,0.5,0.592391304347826,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.6666666666666666,False,10,13,7,21
0,42,36,0.5,0.610248447204969,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.6862745098039216,False,10,13,6,22
0,42,37,0.5,0.6141304347826086,17,6,51,17,6,51,endpoint,interpretation,semantic,syntactic,full_sentence,0.6470588235294118,False,11,12,7,21
