split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.30952380952380953,0.35480285136216066,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6166394779771615,False,41,171,194,207
0,42,1,0.30952380952380953,0.33485272667388133,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5905383360522023,False,41,171,210,191
0,42,2,0.45238095238095233,0.3752176163365172,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5725938009787929,False,56,156,206,195
0,42,3,0.45238095238095233,0.3485684373970734,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6084828711256117,False,41,171,199,202
0,42,4,0.22619047619047616,0.33309415141391807,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5269168026101142,False,54,158,236,165
0,42,5,0.2976190476190476,0.31813155789770853,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5073409461663948,False,54,158,248,153
0,42,6,0.2976190476190476,0.2827541994071425,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.531810766721044,False,39,173,248,153
0,42,7,0.23809523809523808,0.2799898837811132,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5187601957585645,False,41,171,254,147
0,42,8,0.23809523809523808,0.3153672422716793,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5057096247960848,False,56,156,254,147
0,42,9,0.30952380952380953,0.45626499788265185,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6786296900489397,False,56,156,141,260
0,42,10,0.4642857142857143,0.41561191361219596,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5122349102773246,False,80,132,219,182
0,42,11,0.38095238095238093,0.41089493248012043,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5154975530179445,False,78,134,219,182
0,42,12,0.4642857142857143,0.396743989083894,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5252854812398042,False,72,140,219,182
0,42,13,0.45238095238095233,0.4865019056133252,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.531810766721044,False,109,103,217,184
0,42,14,0.6071428571428572,0.5113042864536772,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5040783034257749,False,110,102,199,202
0,42,15,0.5238095238095238,0.5007587164165059,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5057096247960848,False,105,107,198,203
0,42,16,0.6904761904761905,0.5288959205759187,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5236541598694943,False,109,103,183,218
0,42,17,0.7738095238095238,0.5031172069825436,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5040783034257749,False,106,106,198,203
0,42,18,0.7738095238095238,0.5933574083658778,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5513866231647635,False,121,91,154,247
0,42,19,0.7738095238095238,0.5372476826800923,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5220228384991843,False,121,91,199,202
0,42,20,0.8452380952380952,0.6332576577424364,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6035889070146819,False,121,91,122,279
0,42,21,0.75,0.6213299298922506,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6068515497553018,False,117,95,124,277
0,42,22,0.6071428571428572,0.6188361643062157,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6035889070146819,False,117,95,126,275
0,42,23,0.6785714285714286,0.6238236954782854,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6101141924959217,False,117,95,122,279
0,42,24,0.7619047619047619,0.628540676610361,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6068515497553018,False,119,93,122,279
0,42,25,0.8333333333333333,0.642256387333553,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6247960848287113,False,119,93,111,290
0,42,26,0.75,0.5566449442431657,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.7014681892332789,False,79,133,104,297
0,42,27,0.8333333333333333,0.559244577236155,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.7520391517128875,False,69,143,83,318
0,42,28,0.8333333333333333,0.559244577236155,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.7520391517128875,False,69,143,83,318
0,42,29,0.8333333333333333,0.5744777207923587,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.7814029363784666,False,67,145,67,334
0,42,30,0.8333333333333333,0.6431150896344046,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.7862969004893964,False,85,127,46,355
0,42,31,0.8333333333333333,0.612454712275914,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.8075040783034257,False,72,140,46,355
0,42,32,0.8333333333333333,0.6395097162753494,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.7862969004893964,False,84,128,47,354
0,42,33,0.9166666666666667,0.6367454006493201,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.7732463295269169,False,86,126,53,348
0,42,34,0.9166666666666667,0.6292641038912153,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.763458401305057,False,86,126,59,342
0,42,35,0.8333333333333333,0.5613325177621983,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.7406199021207178,False,72,140,87,314
0,42,36,0.8333333333333333,0.6511963016985838,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.7308319738988581,False,99,113,66,335
0,42,37,0.8333333333333333,0.6158189432080177,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.7553017944535073,False,84,128,66,335
0,42,38,0.8333333333333333,0.6056791982308379,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.7797716150081566,False,76,136,59,342
0,42,39,0.8333333333333333,0.6073024984708041,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.8384991843393148,False,64,148,35,366
0,42,40,0.8333333333333333,0.5985743189196819,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.8270799347471451,False,64,148,42,359
0,42,41,0.8333333333333333,0.6073024984708041,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.8384991843393148,False,64,148,35,366
0,42,42,0.8333333333333333,0.5985743189196819,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.8270799347471451,False,64,148,42,359
0,42,43,0.8333333333333333,0.6073024984708041,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.8384991843393148,False,64,148,35,366
0,42,44,0.8333333333333333,0.5985743189196819,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.8270799347471451,False,64,148,42,359
0,42,45,0.8333333333333333,0.5985743189196819,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.8270799347471451,False,64,148,42,359
0,42,46,0.8333333333333333,0.5773773114383851,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.799347471451876,False,64,148,59,342
0,42,47,0.8333333333333333,0.568649131887263,41,13,613,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.7879282218597063,False,64,148,66,335
1,43,0,0.47916666666666663,0.430868700265252,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.5889763779527559,False,75,157,186,217
1,43,1,0.47916666666666663,0.4136273209549072,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.6015748031496063,False,67,165,186,217
1,43,2,0.5416666666666666,0.42238170616924786,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.5480314960629922,False,82,150,205,198
1,43,3,0.6666666666666666,0.39645011551296316,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.631496062992126,False,55,177,179,224
1,43,4,0.6875,0.44138251903824766,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.5937007874015748,False,77,155,181,222
1,43,5,0.625,0.45261829383075214,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.5433070866141733,False,92,140,198,205
1,43,6,0.6875,0.45385898861983404,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.5448818897637795,False,92,140,197,206
1,43,7,0.5625,0.42734983314794217,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.5275590551181102,False,101,131,234,169
1,43,8,0.5,0.43152648241636005,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.5165354330708661,False,92,140,215,188
1,43,9,0.5,0.388423034140498,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.5480314960629922,False,72,160,215,188
1,43,10,0.5625,0.4409279541370754,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.5543307086614173,False,86,146,197,206
1,43,11,0.5625,0.410755540343972,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.5763779527559055,False,72,160,197,206
1,43,12,0.625,0.4309328741336528,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.6062992125984252,False,71,161,179,224
1,43,13,0.5625,0.41885214340720456,40,14,635,40,14,44,ambiguity,interpretation,both,both,all_checkpoints,0.5952755905511811,False,70,162,187,216
