row_id,prefix_end,prefix_text,current_token,stage,is_full_sentence,label,type,location,computed_location,cue_relative_position,global_prefix_id,sentence,location_matches,ambiguous_lemma,cue_start_lemma,cue_end_lemma,lemma_split,morphological_parsing,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,cue_length_tokens,ambiguity_length_tokens,token_distance,overlap,matched_ambiguous,matched_cue,amb_token_text,cue_token_text,n_tokens,tokens_json,tracked_token_index,tracked_token_text,tracked_region,ambiguity_vector_available
1,24,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti ev arama idi.,.,full_sentence,True,nominalizer,syntactic,before,before,-4,54,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti ev arama idi.,True,arama,niyeti,niyeti,ara-ma,ara-NMLZ,62,67,52,58,21,22,17,19,3,2,4,False,arama,niyeti,Ġar ama,Ġni yet i,25,"[""G"", ""idi"", ""y"", ""ord"", ""u"", ""Ġama"", ""Ġbiz"", ""im"", ""Ġkir"", ""ac"", ""Ä±nÄ±n"", ""Ġda"", ""Ġda"", ""ire"", ""ĠdÃ¶nÃ¼ÅŁ"", ""ler"", ""inde"", ""Ġni"", ""yet"", ""i"", ""Ġev"", ""Ġar"", ""ama"", ""Ġidi"", "".""]",24,.,post_cue_or_post_ambiguity,True
17,38,"Abone, kendisine verilen yeni SIM kartını, sakın bu kartı taşıma diye uyarılmadığı için makinesine takarak kullanmaya başlıyor.",.,full_sentence,True,negation,syntactic,before,before,-3,357,"Abone, kendisine verilen yeni SIM kartını, sakın bu kartı taşıma diye uyarılmadığı için makinesine takarak kullanmaya başlıyor.",True,taşıma,bu,için,taşı-ma,taşı-NEG.IMP.2SG,58,64,49,87,18,19,15,26,12,2,3,True,taşıma,bu kartı taşıma diye uyarılmadığı için,ĠtaÅŁÄ± ma,Ġbu Ġkart Ä± ĠtaÅŁÄ± ma Ġdi ye Ġuyar Ä±lm ad Ä±ÄŁÄ± ĠiÃ§in,39,"[""Ab"", ""one"", "","", ""Ġkend"", ""is"", ""ine"", ""Ġver"", ""ilen"", ""Ġyeni"", ""ĠSIM"", ""Ġkart"", ""Ä±nÄ±"", "","", ""Ġsak"", ""Ä±n"", ""Ġbu"", ""Ġkart"", ""Ä±"", ""ĠtaÅŁÄ±"", ""ma"", ""Ġdi"", ""ye"", ""Ġuyar"", ""Ä±lm"", ""ad"", ""Ä±ÄŁÄ±"", ""ĠiÃ§in"", ""Ġmak"", ""ines"", ""ine"", ""Ġtak"", ""arak"", ""Ġkullan"", ""m"", ""aya"", ""ĠbaÅŁ"", ""lÄ±"", ""yor"", "".""]",38,.,post_cue_or_post_ambiguity,True
29,31,Fakat ona etki eden duygusal tepkime sonucu nefes faktörünün devreye girmesidir.,.,full_sentence,True,nominalizer,syntactic,before,before,-9,690,Fakat ona etki eden duygusal tepkime sonucu nefes faktörünün devreye girmesidir.,True,tepkime,ona,duygusal,tepki-me,tepki-NMLZ,29,36,6,28,12,14,3,11,9,3,9,False,tepkime,ona etki eden duygusal,Ġtep k ime,Ġon a Ġet ki Ġed en Ġdu yg usal,32,"[""F"", ""ak"", ""at"", ""Ġon"", ""a"", ""Ġet"", ""ki"", ""Ġed"", ""en"", ""Ġdu"", ""yg"", ""usal"", ""Ġtep"", ""k"", ""ime"", ""Ġson"", ""uc"", ""u"", ""Ġnef"", ""es"", ""Ġfakt"", ""Ã¶r"", ""Ã¼nÃ¼n"", ""Ġdev"", ""rey"", ""e"", ""Ġg"", ""irm"", ""es"", ""id"", ""ir"", "".""]",31,.,post_cue_or_post_ambiguity,True
35,20,"Seven merak eder ama sen sakın merak etme, bunaltırsın kızı.",.,full_sentence,True,negation,syntactic,before,before,-6,733,"Seven merak eder ama sen sakın merak etme, bunaltırsın kızı.",True,etme,ama,merak,et-me,et-NEG.IMP.2SG,37,41,17,36,11,12,5,10,6,2,6,False,etme,ama sen sakın merak,Ġet me,Ġama Ġsen Ġsak Ä±n Ġmer ak,21,"[""Seven"", ""Ġmer"", ""ak"", ""Ġed"", ""er"", ""Ġama"", ""Ġsen"", ""Ġsak"", ""Ä±n"", ""Ġmer"", ""ak"", ""Ġet"", ""me"", "","", ""Ġbun"", ""altÄ±"", ""rs"", ""Ä±n"", ""ĠkÄ±z"", ""Ä±"", "".""]",20,.,post_cue_or_post_ambiguity,True
50,9,Durup durup kıza elleşme!,!,full_sentence,True,negation,syntactic,before,before,-4,984,Durup durup kıza elleşme!,True,elleşme,Durup,kıza,elleş-me,elleş-NEG.IMP.2SG,17,24,6,16,6,8,2,5,4,3,4,False,elleşme,durup kıza,Ġelle ÅŁ me,Ġdur up ĠkÄ± za,10,"[""Dur"", ""up"", ""Ġdur"", ""up"", ""ĠkÄ±"", ""za"", ""Ġelle"", ""ÅŁ"", ""me"", ""!""]",9,!,post_cue_or_post_ambiguity,True
51,23,"Nerede güzel görsen ona çevrilme , bizim ilde cana kıyan beyler var",Ġvar,full_sentence,True,negation,syntactic,before,before,-2,1008,"Nerede güzel görsen ona çevrilme , bizim ilde cana kıyan beyler var",True,çevrilme,ona,ona,çevril-me / çevir-il-me,çevril-NEG.IMP.2SG / çev-PASS-NEG.IMP.2SG,24,32,20,23,9,11,7,8,2,3,2,False,çevrilme,ona,ĠÃ§ev ril me,Ġon a,24,"[""N"", ""ered"", ""e"", ""ĠgÃ¼zel"", ""ĠgÃ¶"", ""rs"", ""en"", ""Ġon"", ""a"", ""ĠÃ§ev"", ""ril"", ""me"", ""Ġ,"", ""Ġbiz"", ""im"", ""Ġil"", ""de"", ""Ġcan"", ""a"", ""ĠkÄ±"", ""yan"", ""Ġbey"", ""ler"", ""Ġvar""]",23,Ġvar,post_cue_or_post_ambiguity,True
54,21,"Geceleyin belanı arama , haydi nerden geldinse bas git oraya .",Ġ.,full_sentence,True,negation,syntactic,before,before,-3,1059,"Geceleyin belanı arama , haydi nerden geldinse bas git oraya .",True,arama,belanı,belanı,ara-ma,ara-NEG.IMP.2SG,17,22,10,16,7,8,4,6,3,2,3,False,arama,belanı,Ġar ama,Ġbel an Ä±,22,"[""Ge"", ""ce"", ""ley"", ""in"", ""Ġbel"", ""an"", ""Ä±"", ""Ġar"", ""ama"", ""Ġ,"", ""Ġhay"", ""di"", ""Ġner"", ""den"", ""Ġgeld"", ""in"", ""se"", ""Ġbas"", ""Ġgit"", ""Ġor"", ""aya"", ""Ġ.""]",21,Ġ.,post_cue_or_post_ambiguity,True
56,16,Her dilbere meyil verme / Ya sevilir ya sevilmez,mez,full_sentence,True,negation,syntactic,before,before,-6,1097,Her dilbere meyil verme / Ya sevilir ya sevilmez,True,verme,Her,meyil,ver-me,ver-NEG.IMP.2SG,18,23,0,17,6,7,0,5,6,2,6,False,verme,Her dilbere meyil,Ġver me,Her Ġdil bere Ġme y il,17,"[""Her"", ""Ġdil"", ""bere"", ""Ġme"", ""y"", ""il"", ""Ġver"", ""me"", ""Ġ/"", ""ĠYa"", ""Ġse"", ""vil"", ""ir"", ""Ġya"", ""Ġse"", ""vil"", ""mez""]",16,mez,post_cue_or_post_ambiguity,True
59,22,"Bu kolay işi güçleştirme yavrum ; arkadaş ol benimle , sırdaş ol .",Ġ.,full_sentence,True,negation,syntactic,before,before,-5,1141,"Bu kolay işi güçleştirme yavrum ; arkadaş ol benimle , sırdaş ol .",True,güçleştirme,Bu,işi,güçleştir-me / güçleş-tir-me,güçleştir-NEG.IMP.2SG / güçleş-CAUS-NEG.IMP.2SG,13,24,0,12,5,6,0,4,5,2,5,False,güçleştirme,Bu kolay işi,ĠgÃ¼Ã§ leÅŁtirme,Bu Ġkol ay ĠiÅŁ i,23,"[""Bu"", ""Ġkol"", ""ay"", ""ĠiÅŁ"", ""i"", ""ĠgÃ¼Ã§"", ""leÅŁtirme"", ""Ġy"", ""av"", ""rum"", ""Ġ;"", ""ĠarkadaÅŁ"", ""Ġol"", ""Ġben"", ""im"", ""le"", ""Ġ,"", ""Ġs"", ""Ä±r"", ""da"", ""ÅŁ"", ""Ġol"", ""Ġ.""]",22,Ġ.,post_cue_or_post_ambiguity,True
63,23,"Ali'ye dedim zaten sen baban gibi olma diye, duyduysa ne ala.",.,full_sentence,True,negation,syntactic,before,before,-4,1203,"Ali'ye dedim zaten sen baban gibi olma diye, duyduysa ne ala.",True,olma,sen,gibi,ol-ma,ol-NEG.IMP.2SG,34,38,19,33,11,12,7,10,4,2,4,False,olma,sen baban gibi,Ġol ma,Ġsen Ġbab an Ġgibi,24,"[""Ali"", ""'"", ""ye"", ""Ġded"", ""im"", ""Ġz"", ""aten"", ""Ġsen"", ""Ġbab"", ""an"", ""Ġgibi"", ""Ġol"", ""ma"", ""Ġdi"", ""ye"", "","", ""Ġduy"", ""du"", ""ys"", ""a"", ""Ġne"", ""Ġal"", ""a"", "".""]",23,.,post_cue_or_post_ambiguity,True
