row_id,prefix_end,prefix_text,current_token,stage,is_full_sentence,label,type,location,computed_location,cue_relative_position,global_prefix_id,sentence,location_matches,ambiguous_lemma,cue_start_lemma,cue_end_lemma,lemma_split,morphological_parsing,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,cue_length_tokens,ambiguity_length_tokens,token_distance,overlap,matched_ambiguous,matched_cue,amb_token_text,cue_token_text,n_tokens,tokens_json,tracked_token_index,tracked_token_text,tracked_region,ambiguity_vector_available
17,34,"Abone, kendisine verilen yeni SIM kartını, sakın bu kartı taşıma diye uyarılmadığı için makinesine takarak kullanmaya başlıyor.",.,full_sentence,True,negation,syntactic,before,before,-3,286,"Abone, kendisine verilen yeni SIM kartını, sakın bu kartı taşıma diye uyarılmadığı için makinesine takarak kullanmaya başlıyor.",True,taşıma,bu,için,taşı-ma,taşı-NEG.IMP.2SG,58,64,49,87,17,18,14,24,11,2,3,True,taşıma,bu kartı taşıma diye uyarılmadığı için,▁taşı ma,▁bu ▁kart ı ▁taşı ma ▁diye ▁uyar ıl mad ığı ▁için,35,"[""Ab"", ""one"", "","", ""▁kend"", ""isine"", ""▁ver"", ""ilen"", ""▁yeni"", ""▁SIM"", ""▁kart"", ""ını"", "","", ""▁sak"", ""ın"", ""▁bu"", ""▁kart"", ""ı"", ""▁taşı"", ""ma"", ""▁diye"", ""▁uyar"", ""ıl"", ""mad"", ""ığı"", ""▁için"", ""▁mak"", ""ines"", ""ine"", ""▁tak"", ""arak"", ""▁kullan"", ""maya"", ""▁baş"", ""lıyor"", "".""]",34,.,post_cue_or_post_ambiguity,True
28,33,Ayrıca aralarında Türklerin de bulunduğu bir briç takımları varmış ve briç oynarken sen Türkçe konuşma diye çok çaba harcamışlar.,.,full_sentence,True,negation,syntactic,before,before,-2,542,Ayrıca aralarında Türklerin de bulunduğu bir briç takımları varmış ve briç oynarken sen Türkçe konuşma diye çok çaba harcamışlar.,True,konuşma,sen,sen,konuş-ma,konuş-NEG.IMP.2SG,95,102,84,87,23,24,21,21,1,2,2,False,konuşma,sen,▁konuş ma,▁sen,34,"[""Ayrıca"", ""▁ar"", ""alar"", ""ında"", ""▁Türk"", ""lerin"", ""▁de"", ""▁bulundu"", ""ğu"", ""▁bir"", ""▁bri"", ""ç"", ""▁takı"", ""mları"", ""▁var"", ""mış"", ""▁ve"", ""▁bri"", ""ç"", ""▁oyn"", ""arken"", ""▁sen"", ""▁Türkçe"", ""▁konuş"", ""ma"", ""▁diye"", ""▁çok"", ""▁ç"", ""aba"", ""▁har"", ""cam"", ""ış"", ""lar"", "".""]",33,.,post_cue_or_post_ambiguity,True
29,24,Fakat ona etki eden duygusal tepkime sonucu nefes faktörünün devreye girmesidir.,.,full_sentence,True,nominalizer,syntactic,before,before,-6,567,Fakat ona etki eden duygusal tepkime sonucu nefes faktörünün devreye girmesidir.,True,tepkime,ona,duygusal,tepki-me,tepki-NMLZ,29,36,6,28,8,10,2,7,6,3,6,False,tepkime,ona etki eden duygusal,▁tep k ime,▁ona ▁et ki ▁eden ▁duyg usal,25,"[""F"", ""akat"", ""▁ona"", ""▁et"", ""ki"", ""▁eden"", ""▁duyg"", ""usal"", ""▁tep"", ""k"", ""ime"", ""▁son"", ""ucu"", ""▁ne"", ""fes"", ""▁fakt"", ""ör"", ""ünün"", ""▁dev"", ""re"", ""ye"", ""▁gir"", ""mes"", ""idir"", "".""]",24,.,post_cue_or_post_ambiguity,True
35,16,"Seven merak eder ama sen sakın merak etme, bunaltırsın kızı.",.,full_sentence,True,negation,syntactic,before,before,-5,605,"Seven merak eder ama sen sakın merak etme, bunaltırsın kızı.",True,etme,ama,merak,et-me,et-NEG.IMP.2SG,37,41,17,36,8,8,3,7,5,1,5,False,etme,ama sen sakın merak,▁etme,▁ama ▁sen ▁sak ın ▁merak,17,"[""Seven"", ""▁merak"", ""▁eder"", ""▁ama"", ""▁sen"", ""▁sak"", ""ın"", ""▁merak"", ""▁etme"", "","", ""▁bun"", ""alt"", ""ırs"", ""ın"", ""▁k"", ""ızı"", "".""]",16,.,post_cue_or_post_ambiguity,True
50,8,Durup durup kıza elleşme!,!,full_sentence,True,negation,syntactic,before,before,-4,822,Durup durup kıza elleşme!,True,elleşme,Durup,kıza,elleş-me,elleş-NEG.IMP.2SG,17,24,6,16,6,7,2,5,4,2,4,False,elleşme,durup kıza,▁elle şme,▁dur up ▁kı za,9,"[""Dur"", ""up"", ""▁dur"", ""up"", ""▁kı"", ""za"", ""▁elle"", ""şme"", ""!""]",8,!,post_cue_or_post_ambiguity,True
51,18,"Nerede güzel görsen ona çevrilme , bizim ilde cana kıyan beyler var",▁var,full_sentence,True,negation,syntactic,before,before,-1,841,"Nerede güzel görsen ona çevrilme , bizim ilde cana kıyan beyler var",True,çevrilme,ona,ona,çevril-me / çevir-il-me,çevril-NEG.IMP.2SG / çev-PASS-NEG.IMP.2SG,24,32,20,23,6,8,5,5,1,3,1,False,çevrilme,ona,▁çev ril me,▁ona,19,"[""N"", ""erede"", ""▁güzel"", ""▁gö"", ""rsen"", ""▁ona"", ""▁çev"", ""ril"", ""me"", ""▁,"", ""▁bizim"", ""▁il"", ""de"", ""▁cana"", ""▁kı"", ""yan"", ""▁bey"", ""ler"", ""▁var""]",18,▁var,post_cue_or_post_ambiguity,True
56,13,Her dilbere meyil verme / Ya sevilir ya sevilmez,mez,full_sentence,True,negation,syntactic,before,before,-5,915,Her dilbere meyil verme / Ya sevilir ya sevilmez,True,verme,Her,meyil,ver-me,ver-NEG.IMP.2SG,18,23,0,17,5,5,0,4,5,1,5,False,verme,Her dilbere meyil,▁verme,Her ▁dil bere ▁me yil,14,"[""Her"", ""▁dil"", ""bere"", ""▁me"", ""yil"", ""▁verme"", ""▁/"", ""▁Ya"", ""▁sevi"", ""lir"", ""▁ya"", ""▁se"", ""vil"", ""mez""]",13,mez,post_cue_or_post_ambiguity,True
59,20,"Bu kolay işi güçleştirme yavrum ; arkadaş ol benimle , sırdaş ol .",▁.,full_sentence,True,negation,syntactic,before,before,-3,954,"Bu kolay işi güçleştirme yavrum ; arkadaş ol benimle , sırdaş ol .",True,güçleştirme,Bu,işi,güçleştir-me / güçleş-tir-me,güçleştir-NEG.IMP.2SG / güçleş-CAUS-NEG.IMP.2SG,13,24,0,12,3,5,0,2,3,3,3,False,güçleştirme,Bu kolay işi,▁güç leştir me,Bu ▁kolay ▁işi,21,"[""Bu"", ""▁kolay"", ""▁işi"", ""▁güç"", ""leştir"", ""me"", ""▁y"", ""av"", ""rum"", ""▁;"", ""▁arkadaş"", ""▁ol"", ""▁benim"", ""le"", ""▁,"", ""▁s"", ""ır"", ""da"", ""ş"", ""▁ol"", ""▁.""]",20,▁.,post_cue_or_post_ambiguity,True
60,19,Beni bu kadar yürekten çağırma  / Bir gece ansızın gelebilirim,rim,full_sentence,True,negation,syntactic,before,before,-7,974,Beni bu kadar yürekten çağırma  / Bir gece ansızın gelebilirim,True,çağırma,Beni,yürekten,çağır-ma,çağır-NEG.IMP.2SG,23,30,0,22,7,9,0,6,7,3,7,False,çağırma,Beni bu kadar yürekten,▁çağ ır ma,Ben i ▁bu ▁kadar ▁yü rek ten,20,"[""Ben"", ""i"", ""▁bu"", ""▁kadar"", ""▁yü"", ""rek"", ""ten"", ""▁çağ"", ""ır"", ""ma"", ""▁▁"", ""/"", ""▁Bir"", ""▁gece"", ""▁ans"", ""ız"", ""ın"", ""▁gele"", ""bili"", ""rim""]",19,rim,post_cue_or_post_ambiguity,True
64,21,Artık sana da 'Karını aldatma!' dememiz gerekiyorsa biz ölelim.,.,full_sentence,True,negation,syntactic,before,before,-2,1032,Artık sana da 'Karını aldatma!' dememiz gerekiyorsa biz ölelim.,True,aldatma,Karını,Karını,aldat-ma,aldat-NEG.IMP.2SG,22,29,15,21,7,9,5,6,2,3,2,False,aldatma,Karını,▁ald at ma,Kar ını,22,"[""Art"", ""ık"", ""▁sana"", ""▁da"", ""▁'"", ""Kar"", ""ını"", ""▁ald"", ""at"", ""ma"", ""!'"", ""▁de"", ""mem"", ""iz"", ""▁gere"", ""kiy"", ""orsa"", ""▁biz"", ""▁ö"", ""le"", ""lim"", "".""]",21,.,post_cue_or_post_ambiguity,True
