split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.4642857142857143,0.5175943745373797,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6703499079189686,False,68,125,111,239
0,42,1,0.23809523809523808,0.5132568467801628,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5248618784530387,False,95,98,163,187
0,42,2,0.38095238095238093,0.5575425610658771,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.58195211786372,False,95,98,132,218
0,42,3,0.6190476190476191,0.5641524796447076,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.580110497237569,False,97,96,131,219
0,42,4,0.44047619047619047,0.48856402664692816,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6795580110497238,False,59,134,115,235
0,42,5,0.45238095238095233,0.4600370096225018,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5230202578268877,False,91,102,193,157
0,42,6,0.6190476190476191,0.5118504811250926,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5598526703499079,False,111,82,193,157
0,42,7,0.6904761904761905,0.5835677276091784,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5451197053406999,False,126,67,170,180
0,42,8,0.8452380952380952,0.5796447076239822,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.570902394106814,False,130,63,180,170
0,42,9,0.7738095238095238,0.6098371576609919,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.583793738489871,False,140,53,177,173
0,42,10,0.8571428571428572,0.5592820133234641,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.576427255985267,False,126,67,187,163
0,42,11,0.7857142857142857,0.6050185048112509,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6003683241252302,False,142,51,184,166
0,42,12,0.9285714285714286,0.6207327905255366,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.580110497237569,False,142,51,173,177
0,42,13,0.9285714285714286,0.6021391561806069,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5211786372007366,False,126,67,157,193
0,42,14,0.9285714285714286,0.5735677276091784,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5580110497237569,False,126,67,177,173
0,42,15,0.8571428571428572,0.5735677276091784,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5580110497237569,False,126,67,177,173
0,42,16,0.8571428571428572,0.5339822353811992,41,13,543,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5101289134438306,False,103,90,163,187
