row_id,prefix_end,prefix_text,current_token,stage,is_full_sentence,label,type,location,computed_location,cue_relative_position,global_prefix_id,sentence,location_matches,ambiguous_lemma,cue_start_lemma,cue_end_lemma,lemma_split,morphological_parsing,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,cue_length_tokens,ambiguity_length_tokens,token_distance,overlap,matched_ambiguous,matched_cue,amb_token_text,cue_token_text,n_tokens,tokens_json,tracked_token_index,tracked_token_text,tracked_region,ambiguity_vector_available
1,22,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti ev arama idi.,.,full_sentence,True,nominalizer,syntactic,before,before,-4,48,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti ev arama idi.,True,arama,niyeti,niyeti,ara-ma,ara-NMLZ,62,67,52,58,19,20,15,17,3,2,4,False,arama,niyeti,Ġar ama,Ġni yet i,23,"[""G"", ""idi"", ""y"", ""ord"", ""u"", ""Ġama"", ""Ġbizim"", ""Ġkir"", ""ac"", ""Ä±nÄ±n"", ""Ġda"", ""Ġda"", ""ire"", ""ĠdÃ¶nÃ¼ÅŁ"", ""lerinde"", ""Ġni"", ""yet"", ""i"", ""Ġev"", ""Ġar"", ""ama"", ""Ġidi"", "".""]",22,.,post_cue_or_post_ambiguity,True
17,33,"Abone, kendisine verilen yeni SIM kartını, sakın bu kartı taşıma diye uyarılmadığı için makinesine takarak kullanmaya başlıyor.",.,full_sentence,True,negation,syntactic,before,before,-3,301,"Abone, kendisine verilen yeni SIM kartını, sakın bu kartı taşıma diye uyarılmadığı için makinesine takarak kullanmaya başlıyor.",True,taşıma,bu,için,taşı-ma,taşı-NEG.IMP.2SG,58,64,49,87,15,17,12,23,12,3,3,True,taşıma,bu kartı taşıma diye uyarılmadığı için,Ġta ÅŁÄ± ma,Ġbu Ġkart Ä± Ġta ÅŁÄ± ma Ġdiye Ġuyar Ä± lm adÄ±ÄŁÄ± ĠiÃ§in,34,"[""Ab"", ""one"", "","", ""Ġkendisine"", ""Ġverilen"", ""Ġyeni"", ""ĠSIM"", ""Ġkart"", ""Ä±nÄ±"", "","", ""Ġsak"", ""Ä±n"", ""Ġbu"", ""Ġkart"", ""Ä±"", ""Ġta"", ""ÅŁÄ±"", ""ma"", ""Ġdiye"", ""Ġuyar"", ""Ä±"", ""lm"", ""adÄ±ÄŁÄ±"", ""ĠiÃ§in"", ""Ġmak"", ""ines"", ""ine"", ""Ġtak"", ""arak"", ""Ġkullan"", ""maya"", ""ĠbaÅŁ"", ""lÄ±yor"", "".""]",33,.,post_cue_or_post_ambiguity,True
29,22,Fakat ona etki eden duygusal tepkime sonucu nefes faktörünün devreye girmesidir.,.,full_sentence,True,nominalizer,syntactic,before,before,-5,596,Fakat ona etki eden duygusal tepkime sonucu nefes faktörünün devreye girmesidir.,True,tepkime,ona,duygusal,tepki-me,tepki-NMLZ,29,36,6,28,7,9,2,6,5,3,5,False,tepkime,ona etki eden duygusal,Ġtep k ime,Ġona Ġetki Ġeden Ġduyg usal,23,"[""F"", ""akat"", ""Ġona"", ""Ġetki"", ""Ġeden"", ""Ġduyg"", ""usal"", ""Ġtep"", ""k"", ""ime"", ""Ġsonucu"", ""Ġnef"", ""es"", ""Ġfakt"", ""Ã¶r"", ""Ã¼nÃ¼n"", ""Ġdev"", ""rey"", ""e"", ""Ġg"", ""irm"", ""esidir"", "".""]",22,.,post_cue_or_post_ambiguity,True
37,31,Dönemin Tercüman gazetesinde sistemli olarak Pol-Der aleyhine bir karalama kampanyası yürütülüyordu.,.,full_sentence,True,nominalizer,syntactic,before,before,-8,680,Dönemin Tercüman gazetesinde sistemli olarak Pol-Der aleyhine bir karalama kampanyası yürütülüyordu.,True,karalama,Pol-Der,bir,karala-ma,karala-NMLZ,66,74,45,65,21,22,13,20,8,2,8,False,karalama,Pol-Der aleyhine bir,Ġkar alama,ĠPol -D er Ġa ley h ine Ġbir,32,"[""D"", ""Ã¶n"", ""emin"", ""ĠT"", ""erc"", ""Ã¼"", ""man"", ""Ġgaz"", ""etes"", ""inde"", ""Ġsistem"", ""li"", ""Ġolarak"", ""ĠPol"", ""-D"", ""er"", ""Ġa"", ""ley"", ""h"", ""ine"", ""Ġbir"", ""Ġkar"", ""alama"", ""Ġkam"", ""pany"", ""asÄ±"", ""ĠyÃ¼rÃ¼t"", ""Ã¼l"", ""Ã¼y"", ""ord"", ""u"", "".""]",31,.,post_cue_or_post_ambiguity,True
50,9,Durup durup kıza elleşme!,!,full_sentence,True,negation,syntactic,before,before,-4,858,Durup durup kıza elleşme!,True,elleşme,Durup,kıza,elleş-me,elleş-NEG.IMP.2SG,17,24,6,16,6,8,2,5,4,3,4,False,elleşme,durup kıza,Ġelle ÅŁ me,Ġdur up ĠkÄ± za,10,"[""Dur"", ""up"", ""Ġdur"", ""up"", ""ĠkÄ±"", ""za"", ""Ġelle"", ""ÅŁ"", ""me"", ""!""]",9,!,post_cue_or_post_ambiguity,True
51,21,"Nerede güzel görsen ona çevrilme , bizim ilde cana kıyan beyler var",Ġvar,full_sentence,True,negation,syntactic,before,before,-1,880,"Nerede güzel görsen ona çevrilme , bizim ilde cana kıyan beyler var",True,çevrilme,ona,ona,çevril-me / çevir-il-me,çevril-NEG.IMP.2SG / çev-PASS-NEG.IMP.2SG,24,32,20,23,8,10,7,7,1,3,1,False,çevrilme,ona,ĠÃ§ev ril me,Ġona,22,"[""N"", ""ered"", ""e"", ""ĠgÃ¼zel"", ""ĠgÃ¶"", ""rs"", ""en"", ""Ġona"", ""ĠÃ§ev"", ""ril"", ""me"", ""Ġ,"", ""Ġbizim"", ""Ġil"", ""de"", ""Ġcan"", ""a"", ""ĠkÄ±"", ""yan"", ""Ġbey"", ""ler"", ""Ġvar""]",21,Ġvar,post_cue_or_post_ambiguity,True
54,19,"Geceleyin belanı arama , haydi nerden geldinse bas git oraya .",Ġ.,full_sentence,True,negation,syntactic,before,before,-2,925,"Geceleyin belanı arama , haydi nerden geldinse bas git oraya .",True,arama,belanı,belanı,ara-ma,ara-NEG.IMP.2SG,17,22,10,16,5,6,3,4,2,2,2,False,arama,belanı,Ġar ama,Ġbel anÄ±,20,"[""Ge"", ""ce"", ""leyin"", ""Ġbel"", ""anÄ±"", ""Ġar"", ""ama"", ""Ġ,"", ""Ġhay"", ""di"", ""Ġner"", ""den"", ""Ġgeld"", ""in"", ""se"", ""Ġbas"", ""Ġgit"", ""Ġor"", ""aya"", ""Ġ.""]",19,Ġ.,post_cue_or_post_ambiguity,True
56,15,Her dilbere meyil verme / Ya sevilir ya sevilmez,mez,full_sentence,True,negation,syntactic,before,before,-5,962,Her dilbere meyil verme / Ya sevilir ya sevilmez,True,verme,Her,meyil,ver-me,ver-NEG.IMP.2SG,18,23,0,17,5,6,0,4,5,2,5,False,verme,Her dilbere meyil,Ġver me,Her Ġdil bere Ġmey il,16,"[""Her"", ""Ġdil"", ""bere"", ""Ġmey"", ""il"", ""Ġver"", ""me"", ""Ġ/"", ""ĠYa"", ""Ġse"", ""vil"", ""ir"", ""Ġya"", ""Ġse"", ""vil"", ""mez""]",15,mez,post_cue_or_post_ambiguity,True
59,18,"Bu kolay işi güçleştirme yavrum ; arkadaş ol benimle , sırdaş ol .",Ġ.,full_sentence,True,negation,syntactic,before,before,-3,1001,"Bu kolay işi güçleştirme yavrum ; arkadaş ol benimle , sırdaş ol .",True,güçleştirme,Bu,işi,güçleştir-me / güçleş-tir-me,güçleştir-NEG.IMP.2SG / güçleş-CAUS-NEG.IMP.2SG,13,24,0,12,3,5,0,2,3,3,3,False,güçleştirme,Bu kolay işi,ĠgÃ¼Ã§ leÅŁtir me,Bu Ġkolay ĠiÅŁi,19,"[""Bu"", ""Ġkolay"", ""ĠiÅŁi"", ""ĠgÃ¼Ã§"", ""leÅŁtir"", ""me"", ""Ġy"", ""av"", ""rum"", ""Ġ;"", ""ĠarkadaÅŁ"", ""Ġol"", ""Ġbenim"", ""le"", ""Ġ,"", ""ĠsÄ±r"", ""daÅŁ"", ""Ġol"", ""Ġ.""]",18,Ġ.,post_cue_or_post_ambiguity,True
63,17,"Ali'ye dedim zaten sen baban gibi olma diye, duyduysa ne ala.",.,full_sentence,True,negation,syntactic,before,before,-4,1059,"Ali'ye dedim zaten sen baban gibi olma diye, duyduysa ne ala.",True,olma,sen,gibi,ol-ma,ol-NEG.IMP.2SG,34,38,19,33,8,8,4,7,4,1,4,False,olma,sen baban gibi,Ġolma,Ġsen Ġbab an Ġgibi,18,"[""Ali"", ""'ye"", ""Ġdedim"", ""Ġzaten"", ""Ġsen"", ""Ġbab"", ""an"", ""Ġgibi"", ""Ġolma"", ""Ġdiye"", "","", ""Ġduy"", ""du"", ""ysa"", ""Ġne"", ""Ġal"", ""a"", "".""]",17,.,post_cue_or_post_ambiguity,True
