row_id,prefix_end,prefix_text,current_token,stage,is_full_sentence,label,type,location,computed_location,cue_relative_position,global_prefix_id,sentence,location_matches,ambiguous_lemma,cue_start_lemma,cue_end_lemma,lemma_split,morphological_parsing,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,cue_length_tokens,ambiguity_length_tokens,token_distance,overlap,matched_ambiguous,matched_cue,amb_token_text,cue_token_text,n_tokens,tokens_json,tracked_token_index,tracked_token_text,tracked_region,ambiguity_vector_available
23,13,"Annen emir veriyor pilot olma, okuluna yazıl diye!",!,full_sentence,True,negation,semantic,before,before,-4,399,"Annen emir veriyor pilot olma, okuluna yazıl diye!",True,olma,emir,veriyor,ol-ma,ol-NEG.IMP.2SG,25,29,6,18,6,6,2,4,3,1,4,False,olma,emir veriyor,▁olma,▁emir ▁veri yor,14,"[""An"", ""nen"", ""▁emir"", ""▁veri"", ""yor"", ""▁pilot"", ""▁olma"", "","", ""▁okul"", ""una"", ""▁yaz"", ""ıl"", ""▁diye"", ""!""]",13,!,post_cue_or_post_ambiguity,True
36,11,"Seven merak eder, merak etme aşkın doğasında vardır.",.,full_sentence,True,nominalizer,semantic,before,before,-1,617,"Seven merak eder, merak etme aşkın doğasında vardır.",True,etme,merak,merak,et-me,et-NMLZ,24,28,18,23,5,5,4,4,1,1,1,False,etme,merak,▁etme,▁merak,12,"[""Seven"", ""▁merak"", ""▁eder"", "","", ""▁merak"", ""▁etme"", ""▁aşk"", ""ın"", ""▁doğ"", ""asında"", ""▁vardır"", "".""]",11,.,post_cue_or_post_ambiguity,True
46,13,"Hava çok soğuk, sen sakın evden çıkma.",.,full_sentence,True,negation,semantic,before,before,-5,781,"Hava çok soğuk, sen sakın evden çıkma.",True,çıkma,sen,evden,çık-ma,çık-NEG.IMP.2SG,32,37,16,31,11,12,6,10,5,2,5,False,çıkma,sen sakın evden,▁çık ma,▁sen ▁sak ın ▁ev den,14,"[""H"", ""ava"", ""▁çok"", ""▁soğ"", ""uk"", "","", ""▁sen"", ""▁sak"", ""ın"", ""▁ev"", ""den"", ""▁çık"", ""ma"", "".""]",13,.,post_cue_or_post_ambiguity,True
114,16,"Bana bak müdür müsveddesi, Lenin hakkında ileri geri konuşma!",!,full_sentence,True,negation,semantic,before,before,-5,1554,"Bana bak müdür müsveddesi, Lenin hakkında ileri geri konuşma!",True,konuşma,Lenin,geri,konuş-ma,konuş-NEG.IMP.2SG,53,60,27,52,14,15,9,13,5,2,5,False,konuşma,Lenin hakkında ileri geri,▁konuş ma,▁Lenin ▁hakkında ▁i leri ▁geri,17,"[""B"", ""ana"", ""▁bak"", ""▁mü"", ""dür"", ""▁müs"", ""ved"", ""desi"", "","", ""▁Lenin"", ""▁hakkında"", ""▁i"", ""leri"", ""▁geri"", ""▁konuş"", ""ma"", ""!""]",16,!,post_cue_or_post_ambiguity,True
115,37,"İran savaşı sadece İran’a karşı değil bütün insanlığa karşı açılmış bir savaşın ilk cephesi, Türkiye'yi bu savaşa taraf ya da dahil etme.",.,full_sentence,True,negation,semantic,before,before,-10,1592,"İran savaşı sadece İran’a karşı değil bütün insanlığa karşı açılmış bir savaşın ilk cephesi, Türkiye'yi bu savaşa taraf ya da dahil etme.",True,etme,Türkiye'yi,dahil,et-me,et-NEG.IMP.2SG,132,136,93,131,36,36,26,35,10,1,10,False,etme,Türkiye'yi bu savaşa taraf ya da dahil,▁etme,▁Türkiye ' yi ▁bu ▁sava şa ▁taraf ▁ya ▁da ▁dahil,38,"[""İ"", ""ran"", ""▁sava"", ""şı"", ""▁sadece"", ""▁İ"", ""ran"", ""’"", ""a"", ""▁karşı"", ""▁değil"", ""▁bütün"", ""▁insan"", ""lı"", ""ğa"", ""▁karşı"", ""▁aç"", ""ılmış"", ""▁bir"", ""▁savaş"", ""ın"", ""▁ilk"", ""▁cep"", ""he"", ""si"", "","", ""▁Türkiye"", ""'"", ""yi"", ""▁bu"", ""▁sava"", ""şa"", ""▁taraf"", ""▁ya"", ""▁da"", ""▁dahil"", ""▁etme"", "".""]",37,.,post_cue_or_post_ambiguity,True
117,35,"Millet eline bayrak verdiyse o bayrağı bırakmayacaksın, döneklik yapma milletin sana en çok ihtiyacı olan şu günlerde.",.,full_sentence,True,negation,semantic,before,before,-13,1628,"Millet eline bayrak verdiyse o bayrağı bırakmayacaksın, döneklik yapma milletin sana en çok ihtiyacı olan şu günlerde.",True,yapma,o,döneklik,yap-ma,yap-NEG.IMP.2SG,65,70,29,64,22,23,9,21,13,2,13,False,yapma,"o bayrağı bırakmayacaksın, döneklik",▁yap ma,"▁o ▁bay ra ğı ▁bırak may ac aks ın , ▁dö nek lik",36,"[""M"", ""illet"", ""▁el"", ""ine"", ""▁bay"", ""rak"", ""▁ver"", ""diy"", ""se"", ""▁o"", ""▁bay"", ""ra"", ""ğı"", ""▁bırak"", ""may"", ""ac"", ""aks"", ""ın"", "","", ""▁dö"", ""nek"", ""lik"", ""▁yap"", ""ma"", ""▁mil"", ""letin"", ""▁sana"", ""▁en"", ""▁çok"", ""▁ihtiyac"", ""ı"", ""▁olan"", ""▁şu"", ""▁gün"", ""lerde"", "".""]",35,.,post_cue_or_post_ambiguity,True
119,23,"Halka yalan söylemek suçtur, suç işleme, sen ahlaksız bir adam değilsin.",.,full_sentence,True,negation,semantic,before,before,-10,1693,"Halka yalan söylemek suçtur, suç işleme, sen ahlaksız bir adam değilsin.",True,işleme,Halka,suç,işle-me,işle-NEG.IMP.2SG,33,39,0,32,10,11,0,9,10,2,10,False,işleme,"Halka yalan söylemek suçtur, suç",▁iş leme,"Hal ka ▁y alan ▁söyle mek ▁suç tur , ▁suç",24,"[""Hal"", ""ka"", ""▁y"", ""alan"", ""▁söyle"", ""mek"", ""▁suç"", ""tur"", "","", ""▁suç"", ""▁iş"", ""leme"", "","", ""▁sen"", ""▁ah"", ""la"", ""ks"", ""ız"", ""▁bir"", ""▁adam"", ""▁değ"", ""ils"", ""in"", "".""]",23,.,post_cue_or_post_ambiguity,True
121,32,"Yok solucan olsam beni sever misin, yok 250 kilo olsam beni beğenir misin, adamı delirtme Emine!",!,full_sentence,True,negation,semantic,before,before,-17,1726,"Yok solucan olsam beni sever misin, yok 250 kilo olsam beni beğenir misin, adamı delirtme Emine!",True,delirtme,Yok,adamı,delirt-me,delirt-NEG.IMP.2SG,81,89,36,80,27,29,10,26,17,3,17,False,delirtme,"yok 250 kilo olsam beni beğenir misin, adamı",▁deli rt me,"▁yok ▁ 2 5 0 ▁kilo ▁ols am ▁beni ▁beğ en ir ▁mis in , ▁adam ı",33,"[""Yok"", ""▁solu"", ""can"", ""▁ols"", ""am"", ""▁beni"", ""▁sever"", ""▁mis"", ""in"", "","", ""▁yok"", ""▁"", ""2"", ""5"", ""0"", ""▁kilo"", ""▁ols"", ""am"", ""▁beni"", ""▁beğ"", ""en"", ""ir"", ""▁mis"", ""in"", "","", ""▁adam"", ""ı"", ""▁deli"", ""rt"", ""me"", ""▁E"", ""mine"", ""!""]",32,!,post_cue_or_post_ambiguity,True
123,18,"ARGE'nin anlamında ben araştırma var diye biliyorum, yanlış mıyım?",?,full_sentence,True,nominalizer,semantic,before,before,-7,1773,"ARGE'nin anlamında ben araştırma var diye biliyorum, yanlış mıyım?",True,araştırma,ARGE'nin,anlamında,araştır-ma,araştır-NMLZ,23,32,0,18,7,8,0,5,6,2,7,False,araştırma,ARGE'nin anlamında,▁araştır ma,AR GE ' nin ▁anlam ında,19,"[""AR"", ""GE"", ""'"", ""nin"", ""▁anlam"", ""ında"", ""▁ben"", ""▁araştır"", ""ma"", ""▁var"", ""▁diye"", ""▁bili"", ""yorum"", "","", ""▁yanlış"", ""▁m"", ""ıy"", ""ım"", ""?""]",18,?,post_cue_or_post_ambiguity,True
124,33,Ertesi günün gazete manşetleri gözünün önüne gelmeye başlamıştı bile: Karabatak davasında dudakları uçuklatan gelişme,me,full_sentence,True,nominalizer,semantic,before,before,-11,1807,Ertesi günün gazete manşetleri gözünün önüne gelmeye başlamıştı bile: Karabatak davasında dudakları uçuklatan gelişme,True,gelişme,Karabatak,uçuklatan,geliş-me,geliş-NMLZ,110,117,70,109,32,33,21,31,11,2,11,False,gelişme,Karabatak davasında dudakları uçuklatan,▁geliş me,▁Karab atak ▁d avas ında ▁dud ak ları ▁uç uk latan,34,"[""Er"", ""tesi"", ""▁gün"", ""ün"", ""▁gaze"", ""te"", ""▁man"", ""ş"", ""et"", ""leri"", ""▁göz"", ""ünün"", ""▁ön"", ""üne"", ""▁gel"", ""meye"", ""▁baş"", ""lam"", ""ıştı"", ""▁bile"", "":"", ""▁Karab"", ""atak"", ""▁d"", ""avas"", ""ında"", ""▁dud"", ""ak"", ""ları"", ""▁uç"", ""uk"", ""latan"", ""▁geliş"", ""me""]",33,me,ambiguity,True
