label,type,location,stage,n_prefixes
negation,semantic,after,ambiguity_onset,7
negation,semantic,after,cue_onset,18
negation,semantic,after,full_sentence,4
negation,semantic,after,post_cue,28
negation,semantic,after,pre_ambiguity,35
negation,semantic,before,ambiguity_onset,18
negation,semantic,before,cue_onset,81
negation,semantic,before,full_sentence,9
negation,semantic,before,post_cue,30
negation,semantic,before,post_cue_pre_ambiguity,1
negation,semantic,before,pre_ambiguity,110
negation,syntactic,after,ambiguity_onset,15
negation,syntactic,after,cue_onset,39
negation,syntactic,after,full_sentence,8
negation,syntactic,after,post_ambiguity_pre_cue,1
negation,syntactic,after,post_cue,55
negation,syntactic,after,pre_ambiguity,92
negation,syntactic,before,ambiguity_onset,31
negation,syntactic,before,cue_onset,93
negation,syntactic,before,full_sentence,15
negation,syntactic,before,post_cue,104
negation,syntactic,before,post_cue_pre_ambiguity,1
negation,syntactic,before,pre_ambiguity,90
nominalizer,semantic,after,ambiguity_onset,15
nominalizer,semantic,after,cue_onset,38
nominalizer,semantic,after,full_sentence,6
nominalizer,semantic,after,post_ambiguity_pre_cue,10
nominalizer,semantic,after,post_cue,36
nominalizer,semantic,after,pre_ambiguity,46
nominalizer,semantic,before,ambiguity_onset,32
nominalizer,semantic,before,cue_onset,125
nominalizer,semantic,before,full_sentence,14
nominalizer,semantic,before,post_cue,135
nominalizer,semantic,before,post_cue_pre_ambiguity,29
nominalizer,semantic,before,pre_ambiguity,69
nominalizer,syntactic,after,ambiguity_onset,23
nominalizer,syntactic,after,cue_onset,49
nominalizer,syntactic,after,full_sentence,12
nominalizer,syntactic,after,post_cue,119
nominalizer,syntactic,after,pre_ambiguity,179
nominalizer,syntactic,before,ambiguity_onset,33
nominalizer,syntactic,before,cue_onset,137
nominalizer,syntactic,before,full_sentence,16
nominalizer,syntactic,before,post_cue,95
nominalizer,syntactic,before,post_cue_pre_ambiguity,3
nominalizer,syntactic,before,pre_ambiguity,80
