split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.6071428571428572,0.5245962119269898,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.551931330472103,False,212,231,310,412
0,42,1,0.6904761904761905,0.5332347442206562,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8369098712446352,False,389,54,586,136
0,42,2,0.6071428571428572,0.5371803930641621,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.7484978540772532,False,352,91,520,202
0,42,3,0.6071428571428572,0.5658238652351444,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.5888412017167381,False,297,146,389,333
0,42,4,0.9285714285714286,0.5970138754275495,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.5682403433476395,False,305,138,357,365
0,42,5,0.9166666666666667,0.5450341726956097,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8403433476394849,False,397,46,582,140
0,42,6,0.9166666666666667,0.539081307879417,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8025751072961373,False,377,66,558,164
0,42,7,0.7619047619047619,0.5518562057990408,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8206008583690987,False,392,51,564,158
0,42,8,0.7619047619047619,0.5624472402343628,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.769098712446352,False,375,68,521,201
0,42,9,0.6904761904761905,0.5490564209025594,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.7450643776824034,False,357,86,511,211
0,42,10,0.7738095238095238,0.532002901396297,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8248927038626609,False,383,60,578,144
0,42,11,0.6904761904761905,0.5296189416156525,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8549356223175966,False,395,48,601,121
0,42,12,0.6904761904761905,0.5264893104806688,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8497854077253219,False,391,52,599,123
0,42,13,0.6904761904761905,0.5146398579316296,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.871244635193133,False,394,49,621,101
0,42,14,0.7738095238095238,0.5152026287650932,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8412017167381974,False,381,62,599,123
0,42,15,0.6071428571428572,0.5152557793438092,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8772532188841202,False,397,46,625,97
0,42,16,0.6071428571428572,0.5158951495407165,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8403433476394849,False,381,62,598,124
0,42,17,0.6785714285714286,0.5350528066632066,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.7759656652360515,False,363,80,541,181
0,42,18,0.6071428571428572,0.513378313313282,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.7802575107296137,False,353,90,556,166
0,42,19,0.6071428571428572,0.5196938526665957,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8875536480686695,False,404,39,630,92
0,42,20,0.6785714285714286,0.538824934499728,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8051502145922746,False,378,65,560,162
0,42,21,0.6785714285714286,0.5550296079988495,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.6789699570815451,False,331,112,460,262
0,42,22,0.6785714285714286,0.5755488578878585,41,13,1165,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.655793991416309,False,332,111,432,290
