label,type,location,stage,n_prefixes
negation,semantic,after,ambiguity_onset,7
negation,semantic,after,cue_onset,16
negation,semantic,after,full_sentence,4
negation,semantic,after,post_cue,26
negation,semantic,after,pre_ambiguity,32
negation,semantic,before,ambiguity_onset,18
negation,semantic,before,cue_onset,80
negation,semantic,before,full_sentence,9
negation,semantic,before,post_cue,30
negation,semantic,before,post_cue_pre_ambiguity,1
negation,semantic,before,pre_ambiguity,110
negation,syntactic,after,ambiguity_onset,16
negation,syntactic,after,cue_onset,36
negation,syntactic,after,full_sentence,8
negation,syntactic,after,post_ambiguity_pre_cue,1
negation,syntactic,after,post_cue,54
negation,syntactic,after,pre_ambiguity,83
negation,syntactic,before,ambiguity_onset,30
negation,syntactic,before,cue_onset,89
negation,syntactic,before,full_sentence,15
negation,syntactic,before,post_cue,101
negation,syntactic,before,post_cue_pre_ambiguity,1
negation,syntactic,before,pre_ambiguity,89
nominalizer,semantic,after,ambiguity_onset,12
nominalizer,semantic,after,cue_onset,39
nominalizer,semantic,after,full_sentence,6
nominalizer,semantic,after,post_ambiguity_pre_cue,11
nominalizer,semantic,after,post_cue,31
nominalizer,semantic,after,pre_ambiguity,42
nominalizer,semantic,before,ambiguity_onset,31
nominalizer,semantic,before,cue_onset,125
nominalizer,semantic,before,full_sentence,14
nominalizer,semantic,before,post_cue,128
nominalizer,semantic,before,post_cue_pre_ambiguity,28
nominalizer,semantic,before,pre_ambiguity,70
nominalizer,syntactic,after,ambiguity_onset,21
nominalizer,syntactic,after,cue_onset,43
nominalizer,syntactic,after,full_sentence,12
nominalizer,syntactic,after,post_cue,115
nominalizer,syntactic,after,pre_ambiguity,172
nominalizer,syntactic,before,ambiguity_onset,35
nominalizer,syntactic,before,cue_onset,135
nominalizer,syntactic,before,full_sentence,16
nominalizer,syntactic,before,post_cue,93
nominalizer,syntactic,before,post_cue_pre_ambiguity,3
nominalizer,syntactic,before,pre_ambiguity,73
