split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.5,0.4774844720496894,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6274509803921569,False,8,15,11,17
0,42,1,0.625,0.5054347826086957,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.7450980392156863,False,6,17,7,21
0,42,2,0.5,0.4557453416149068,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6470588235294118,False,7,16,11,17
0,42,3,0.75,0.49922360248447206,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6078431372549019,False,9,14,11,17
0,42,4,0.625,0.5248447204968945,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,11,12,12,16
0,42,5,0.875,0.5543478260869565,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,14,9,14,14
0,42,6,0.875,0.5465838509316769,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5294117647058824,False,12,11,12,16
0,42,7,0.75,0.5605590062111802,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5882352941176471,False,11,12,10,18
0,42,8,0.875,0.5900621118012422,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5098039215686274,False,14,9,12,16
0,42,9,0.875,0.6118012422360248,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5294117647058824,False,15,8,12,16
0,42,10,1.0,0.6731366459627328,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,17,6,11,17
0,42,11,0.875,0.6972049689440993,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6078431372549019,False,14,9,6,22
0,42,12,1.0,0.6475155279503106,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5098039215686274,False,15,8,10,18
0,42,13,0.875,0.6513975155279503,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5294117647058824,False,16,7,11,17
0,42,14,1.0,0.6436335403726708,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,14,9,9,19
0,42,15,0.75,0.6537267080745341,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6470588235294118,False,12,11,6,22
0,42,16,0.625,0.6537267080745341,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6470588235294118,False,12,11,6,22
0,42,17,0.625,0.5885093167701864,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.7058823529411765,False,9,14,6,22
0,42,18,0.875,0.6715838509316769,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6666666666666666,False,12,11,5,23
0,42,19,0.625,0.6319875776397516,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6666666666666666,False,11,12,6,22
0,42,20,0.75,0.6180124223602484,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6078431372549019,False,12,11,8,20
0,42,21,0.75,0.6576086956521738,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6078431372549019,False,13,10,7,21
0,42,22,0.75,0.6001552795031055,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5882352941176471,False,12,11,9,19
0,42,23,0.5,0.639751552795031,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5882352941176471,False,13,10,8,20
0,42,24,0.5,0.639751552795031,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5882352941176471,False,13,10,8,20
0,42,25,0.75,0.6832298136645962,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,15,8,8,20
0,42,26,0.625,0.6653726708074534,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5294117647058824,False,15,8,9,19
0,42,27,0.5,0.6296583850931676,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5098039215686274,False,15,8,11,17
0,42,28,0.875,0.6436335403726708,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5490196078431373,False,14,9,9,19
0,42,29,0.75,0.6614906832298137,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5686274509803921,False,14,9,8,20
0,42,30,0.875,0.6475155279503106,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.5098039215686274,False,15,8,10,18
0,42,31,1.0,0.6754658385093167,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6274509803921569,False,13,10,6,22
0,42,32,0.75,0.7507763975155279,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6666666666666666,False,14,9,3,25
0,42,33,0.75,0.7290372670807453,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6862745098039216,False,13,10,3,25
0,42,34,0.75,0.7290372670807453,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6862745098039216,False,13,10,3,25
0,42,35,0.75,0.7725155279503106,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6470588235294118,False,15,8,3,25
0,42,36,0.75,0.7725155279503106,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6470588235294118,False,15,8,3,25
0,42,37,1.0,0.7546583850931676,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6274509803921569,False,15,8,4,24
0,42,38,1.0,0.7546583850931676,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6274509803921569,False,15,8,4,24
0,42,39,1.0,0.7368012422360248,17,6,51,17,6,51,ambiguity,interpretation,semantic,syntactic,full_sentence,0.6078431372549019,False,15,8,5,23
