split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.4666666666666667,0.27884615384615385,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,4,9,15,5
0,42,1,0.3666666666666667,0.3038461538461539,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,4,9,14,6
0,42,2,0.3666666666666667,0.39230769230769236,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,5,8,12,8
0,42,3,0.26666666666666666,0.3557692307692308,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,6,7,15,5
0,42,4,0.5333333333333333,0.38076923076923075,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,6,7,14,6
0,42,5,0.3666666666666667,0.4307692307692308,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,6,7,12,8
0,42,6,0.2,0.3307692307692308,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,6,7,16,4
0,42,7,0.6333333333333333,0.5461538461538462,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,9,4,12,8
0,42,8,0.7333333333333334,0.5692307692307692,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,7,6,8,12
0,42,9,1.0,0.6192307692307693,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,7,6,6,14
0,42,10,0.9,0.6326923076923077,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,8,5,7,13
0,42,11,0.9,0.725,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,13,0,11,9
0,42,12,0.8,0.65,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.8181818181818182,False,13,0,14,6
0,42,13,0.9,0.7115384615384616,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,12,1,10,10
0,42,14,0.9,0.698076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,11,2,9,11
0,42,15,0.9,0.725,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,13,0,11,9
0,42,16,0.8,0.7115384615384616,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,12,1,10,10
0,42,17,0.9,0.6865384615384615,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,12,1,11,9
0,42,18,0.8,0.75,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,13,0,10,10
0,42,19,0.9,0.75,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,13,0,10,10
0,42,20,0.9,0.7365384615384616,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,12,1,9,11
0,42,21,0.9,0.7115384615384616,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,12,1,10,10
0,42,22,0.9,0.6615384615384616,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,12,1,12,8
0,42,23,0.9,0.6615384615384616,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,12,1,12,8
0,42,24,0.9,0.725,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,13,0,11,9
0,42,25,0.9,0.725,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,13,0,11,9
0,42,26,0.9,0.725,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,13,0,11,9
0,42,27,0.9,0.6365384615384615,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7575757575757576,False,12,1,13,7
0,42,28,0.9,0.7,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7575757575757576,False,13,0,12,8
0,42,29,0.9,0.7,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7575757575757576,False,13,0,12,8
0,42,30,0.9,0.7115384615384616,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,12,1,10,10
0,42,31,0.9,0.7480769230769231,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,11,2,7,13
0,42,32,0.9,0.773076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,11,2,6,14
0,42,33,0.9,0.773076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,11,2,6,14
0,42,34,0.9,0.773076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,11,2,6,14
0,42,35,0.9,0.773076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,11,2,6,14
0,42,36,0.9,0.7596153846153846,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,10,3,5,15
0,42,37,0.9,0.7596153846153846,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,10,3,5,15
0,42,38,0.9,0.7346153846153847,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,6,14
0,42,39,0.9,0.6711538461538462,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,9,4,7,13
0,42,40,0.9,0.7211538461538461,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,9,4,5,15
0,42,41,0.9,0.7211538461538461,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,9,4,5,15
1,43,0,0.25,0.3403846153846154,24,7,33,24,7,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,3,10,11,9
