row_id,sentence,label,type,location,computed_location,location_matches,ambiguous_lemma,cue_start_lemma,cue_end_lemma,lemma_split,morphological_parsing,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,cue_length_tokens,ambiguity_length_tokens,cue_relative_position,token_distance,overlap,matched_ambiguous,matched_cue,amb_token_text,cue_token_text,n_tokens,tokens_json
0,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,after,True,arama,niyetiyle,niyetiyle,ara-ma,ara-NMLZ,52,57,58,67,12,13,14,16,3,2,2,2,False,arama,niyetiyle,▁ara ma,▁ni yeti yle,22,"[""G"", ""idi"", ""yordu"", ""▁ama"", ""▁bizim"", ""▁kira"", ""cı"", ""▁da"", ""▁daire"", ""▁dönüş"", ""lerinde"", ""▁ev"", ""▁ara"", ""ma"", ""▁ni"", ""yeti"", ""yle"", ""▁hareket"", ""▁ed"", ""iy"", ""ordu"", "".""]"
1,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti ev arama idi.,nominalizer,syntactic,before,before,True,arama,niyeti,niyeti,ara-ma,ara-NMLZ,62,67,52,58,15,16,12,13,2,2,-3,3,False,arama,niyeti,▁ara ma,▁ni yeti,19,"[""G"", ""idi"", ""yordu"", ""▁ama"", ""▁bizim"", ""▁k"", ""irac"", ""ının"", ""▁da"", ""▁daire"", ""▁dönüş"", ""lerinde"", ""▁ni"", ""yeti"", ""▁ev"", ""▁ara"", ""ma"", ""▁idi"", "".""]"
3,Benzer bir ev toplama efsanesine de Eskişehir'de öğrenciyken şahit olmuştum.,nominalizer,syntactic,after,after,True,toplama,efsanesine,efsanesine,topla-ma,topla-NMLZ,14,21,22,32,4,5,6,9,4,2,2,2,False,toplama,efsanesine,▁top lama,▁e fs anes ine,26,"[""Ben"", ""zer"", ""▁bir"", ""▁ev"", ""▁top"", ""lama"", ""▁e"", ""fs"", ""anes"", ""ine"", ""▁de"", ""▁Es"", ""ki"", ""şehir"", ""'"", ""de"", ""▁öğren"", ""ci"", ""y"", ""ken"", ""▁ş"", ""ah"", ""it"", ""▁olmuş"", ""tum"", "".""]"
4,"Benzer bir ev toplama, ben bu efsaneye Eskişehir'de öğrenciyken şahit olmuştum.",negation,syntactic,after,after,True,toplama,ben,efsaneye,topla-ma,topla-NEG.IMP.2SG,14,21,23,38,4,5,7,12,6,2,3,3,False,toplama,ben bu efsaneye,▁top lama,▁ben ▁bu ▁e fs an eye,28,"[""Ben"", ""zer"", ""▁bir"", ""▁ev"", ""▁top"", ""lama"", "","", ""▁ben"", ""▁bu"", ""▁e"", ""fs"", ""an"", ""eye"", ""▁Es"", ""ki"", ""şehir"", ""'"", ""de"", ""▁öğren"", ""ci"", ""y"", ""ken"", ""▁ş"", ""ah"", ""it"", ""▁olmuş"", ""tum"", "".""]"
7,İşte evlilik öncesi nişan bozma gibi ilişkilerle ilgili görgü kurallarının Frenkçe kitaplarda yazanı.,nominalizer,syntactic,after,after,True,bozma,gibi,kurallarının,boz-ma,boz-NMLZ,26,31,32,74,8,9,10,19,10,2,2,2,False,bozma,gibi ilişkilerle ilgili görgü kurallarının,▁bo zma,▁gibi ▁ilişk iler le ▁ilgili ▁gör gü ▁kur allar ının,28,"[""İ"", ""şte"", ""▁ev"", ""lilik"", ""▁ön"", ""cesi"", ""▁ni"", ""şan"", ""▁bo"", ""zma"", ""▁gibi"", ""▁ilişk"", ""iler"", ""le"", ""▁ilgili"", ""▁gör"", ""gü"", ""▁kur"", ""allar"", ""ının"", ""▁Fren"", ""k"", ""çe"", ""▁kitap"", ""larda"", ""▁yaz"", ""anı"", "".""]"
8,İşte evlilik öncesi nişan bozma gibi ilişkilerle ilgili mevzuları açıklığa kavuşturan yazarın Frenkçe kitapları.,nominalizer,semantic,after,after,True,bozma,gibi,mevzuları,boz-ma,boz-NMLZ,26,31,32,65,8,9,10,17,8,2,2,2,False,bozma,gibi ilişkilerle ilgili mevzuları,▁bo zma,▁gibi ▁ilişk iler le ▁ilgili ▁me vz uları,33,"[""İ"", ""şte"", ""▁ev"", ""lilik"", ""▁ön"", ""cesi"", ""▁ni"", ""şan"", ""▁bo"", ""zma"", ""▁gibi"", ""▁ilişk"", ""iler"", ""le"", ""▁ilgili"", ""▁me"", ""vz"", ""uları"", ""▁açık"", ""lı"", ""ğa"", ""▁kav"", ""uş"", ""tur"", ""an"", ""▁yazar"", ""ın"", ""▁Fren"", ""k"", ""çe"", ""▁kitap"", ""ları"", "".""]"
11,"İşte evlilik öncesi biriyle çıkma gibi emirleri yağdıran kadın, Frenkçe kitaplar yazıyor.",negation,semantic,after,after,True,çıkma,gibi,emirleri,çık-ma,çık-NEG.IMP.2SG,28,33,34,47,8,9,10,12,3,2,2,2,False,çıkma,gibi emirleri,▁çık ma,▁gibi ▁emir leri,26,"[""İ"", ""şte"", ""▁ev"", ""lilik"", ""▁ön"", ""cesi"", ""▁biri"", ""yle"", ""▁çık"", ""ma"", ""▁gibi"", ""▁emir"", ""leri"", ""▁yağ"", ""dı"", ""ran"", ""▁kadın"", "","", ""▁Fren"", ""k"", ""çe"", ""▁kitap"", ""lar"", ""▁yaz"", ""ıyor"", "".""]"
13,"Abone, kendisine verilen yeni SIM kartını, taşıma zamanı bildirildiğinde makinesine takarak kullanmaya başlıyor.",nominalizer,syntactic,after,after,True,taşıma,zamanı,bildirildiğinde,taşı-ma,taşı-NMLZ,43,49,50,72,12,13,14,19,6,2,2,2,False,taşıma,zamanı bildirildiğinde,▁taşı ma,▁zaman ı ▁bil di ril diğinde,30,"[""Ab"", ""one"", "","", ""▁kend"", ""isine"", ""▁ver"", ""ilen"", ""▁yeni"", ""▁SIM"", ""▁kart"", ""ını"", "","", ""▁taşı"", ""ma"", ""▁zaman"", ""ı"", ""▁bil"", ""di"", ""ril"", ""diğinde"", ""▁mak"", ""ines"", ""ine"", ""▁tak"", ""arak"", ""▁kullan"", ""maya"", ""▁baş"", ""lıyor"", "".""]"
14,"Abone, kendisine verilen yeni SIM kartını, bu kelimenin sık sık tekrar edildiği mesajlarla taşıma zamanı bildirildiğinde makinesine takarak kullanmaya başlıyor.",nominalizer,semantic,after,after,True,taşıma,zamanı,bildirildiğinde,taşı-ma,taşı-NMLZ,91,97,98,120,22,23,24,29,6,2,2,2,False,taşıma,zamanı bildirildiğinde,▁taşı ma,▁zaman ı ▁bil di ril diğinde,40,"[""Ab"", ""one"", "","", ""▁kend"", ""isine"", ""▁ver"", ""ilen"", ""▁yeni"", ""▁SIM"", ""▁kart"", ""ını"", "","", ""▁bu"", ""▁keli"", ""menin"", ""▁sık"", ""▁sık"", ""▁tekrar"", ""▁edil"", ""diği"", ""▁mesaj"", ""larla"", ""▁taşı"", ""ma"", ""▁zaman"", ""ı"", ""▁bil"", ""di"", ""ril"", ""diğinde"", ""▁mak"", ""ines"", ""ine"", ""▁tak"", ""arak"", ""▁kullan"", ""maya"", ""▁baş"", ""lıyor"", "".""]"
17,"Abone, kendisine verilen yeni SIM kartını, sakın bu kartı taşıma diye uyarılmadığı için makinesine takarak kullanmaya başlıyor.",negation,syntactic,before,before,True,taşıma,bu,için,taşı-ma,taşı-NEG.IMP.2SG,58,64,49,87,17,18,14,24,11,2,-3,3,True,taşıma,bu kartı taşıma diye uyarılmadığı için,▁taşı ma,▁bu ▁kart ı ▁taşı ma ▁diye ▁uyar ıl mad ığı ▁için,35,"[""Ab"", ""one"", "","", ""▁kend"", ""isine"", ""▁ver"", ""ilen"", ""▁yeni"", ""▁SIM"", ""▁kart"", ""ını"", "","", ""▁sak"", ""ın"", ""▁bu"", ""▁kart"", ""ı"", ""▁taşı"", ""ma"", ""▁diye"", ""▁uyar"", ""ıl"", ""mad"", ""ığı"", ""▁için"", ""▁mak"", ""ines"", ""ine"", ""▁tak"", ""arak"", ""▁kullan"", ""maya"", ""▁baş"", ""lıyor"", "".""]"
