split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.5666666666666667,0.6576923076923077,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,8,5,6,14
0,42,1,0.9,0.6211538461538462,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,9,4,9,11
0,42,2,0.7333333333333334,0.6596153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,10,3,9,11
0,42,3,0.7333333333333334,0.6346153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,10,3,10,10
0,42,4,0.7333333333333334,0.5961538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,9,4,10,10
0,42,5,0.7333333333333334,0.6596153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,10,3,9,11
0,42,6,0.7333333333333334,0.7211538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,9,4,5,15
0,42,7,0.7333333333333334,0.6711538461538462,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,9,4,7,13
0,42,8,0.8333333333333333,0.6442307692307692,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,7,6,5,15
0,42,9,0.8333333333333333,0.6711538461538462,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,9,4,7,13
0,42,10,0.7333333333333334,0.7096153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,7,13
0,42,11,0.7333333333333334,0.7480769230769231,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,11,2,7,13
0,42,12,0.7333333333333334,0.7230769230769231,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,11,2,8,12
0,42,13,0.7333333333333334,0.6596153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,10,3,9,11
0,42,14,0.7333333333333334,0.6730769230769231,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,11,2,10,10
0,42,15,0.7333333333333334,0.5596153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,10,3,13,7
0,42,16,0.7333333333333334,0.5711538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,9,4,11,9
0,42,17,0.7333333333333334,0.6346153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,10,3,10,10
0,42,18,0.7333333333333334,0.6096153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,10,3,11,9
0,42,19,0.7333333333333334,0.6096153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,10,3,11,9
0,42,20,0.7333333333333334,0.5711538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,9,4,11,9
0,42,21,0.7333333333333334,0.6096153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,10,3,11,9
0,42,22,0.7333333333333334,0.5711538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,9,4,11,9
0,42,23,0.7333333333333334,0.5711538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,9,4,11,9
0,42,24,0.7333333333333334,0.5326923076923077,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,8,5,11,9
0,42,25,0.7333333333333334,0.5711538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,9,4,11,9
0,42,26,0.7333333333333334,0.5961538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,9,4,10,10
0,42,27,0.9,0.6096153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,10,3,11,9
0,42,28,0.9,0.6096153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,10,3,11,9
0,42,29,0.9,0.6480769230769231,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,11,2,11,9
0,42,30,0.9,0.6230769230769231,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,11,2,12,8
0,42,31,0.7333333333333334,0.6730769230769231,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,11,2,10,10
