split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.5333333333333333,0.49615384615384617,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,9,4,14,6
0,42,1,0.5333333333333333,0.49615384615384617,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,9,4,14,6
0,42,2,0.26666666666666666,0.49615384615384617,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,9,4,14,6
0,42,3,0.26666666666666666,0.5076923076923077,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,8,5,12,8
0,42,4,0.26666666666666666,0.4076923076923077,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,8,5,16,4
0,42,5,0.26666666666666666,0.3826923076923077,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7575757575757576,False,8,5,17,3
0,42,6,0.26666666666666666,0.3826923076923077,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7575757575757576,False,8,5,17,3
0,42,7,0.4666666666666667,0.28076923076923077,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,6,7,18,2
0,42,8,0.5666666666666667,0.36923076923076925,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,7,6,16,4
0,42,9,0.3666666666666667,0.4326923076923077,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,8,5,15,5
0,42,10,0.26666666666666666,0.38076923076923075,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,6,7,14,6
0,42,11,0.2,0.3557692307692308,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,6,7,15,5
0,42,12,0.43333333333333335,0.3942307692307692,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,7,6,15,5
0,42,13,0.7,0.3423076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,5,8,14,6
0,42,14,0.6333333333333333,0.4673076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,5,8,9,11
0,42,15,0.6333333333333333,0.5557692307692308,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,6,7,7,13
0,42,16,0.9,0.5423076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,5,8,6,14
0,42,17,0.7333333333333334,0.5923076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,5,8,4,16
0,42,18,0.9,0.6942307692307692,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,7,6,3,17
0,42,19,0.9,0.7076923076923077,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,8,5,4,16
0,42,20,0.9,0.5923076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,5,8,4,16
0,42,21,0.9,0.6307692307692307,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,6,7,4,16
0,42,22,1.0,0.5923076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,5,8,4,16
0,42,23,1.0,0.5923076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,5,8,4,16
0,42,24,1.0,0.6692307692307693,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,7,6,4,16
0,42,25,1.0,0.5423076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,5,8,6,14
0,42,26,1.0,0.5673076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,5,8,5,15
