split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.6666666666666666,0.48944193061840124,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.6654929577464789,False,238,490,142,266
0,42,1,0.6666666666666666,0.4851459814695109,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.6170774647887324,False,271,457,164,244
0,42,2,0.6666666666666666,0.46969941822883,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.5052816901408451,False,352,376,222,186
0,42,3,0.75,0.5097231200172376,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.5369718309859155,False,396,332,214,194
0,42,4,0.6666666666666666,0.5044575522516699,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.613556338028169,False,449,279,248,160
0,42,5,0.6666666666666666,0.5038784744667097,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.5123239436619719,False,375,353,207,201
0,42,6,0.6666666666666666,0.5755359836242189,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.5625,False,358,370,139,269
0,42,7,0.75,0.5757245205774617,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.6681338028169014,False,526,202,233,175
0,42,8,0.75,0.5409933204050852,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.5035211267605634,False,388,340,184,224
0,42,9,0.6666666666666666,0.5606146304675717,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.5237676056338029,False,413,315,182,226
0,42,10,0.6666666666666666,0.5547699849170438,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.5008802816901409,False,392,336,175,233
0,42,11,0.5833333333333334,0.5524806076276665,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.6628521126760564,False,510,218,243,165
0,42,12,0.6666666666666666,0.5448179271708683,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.7535211267605634,False,572,156,284,124
0,42,13,0.5833333333333334,0.5621498599439776,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.5625,False,442,286,197,211
0,42,14,0.5833333333333334,0.5436597716009481,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.551056338028169,False,424,304,202,206
0,42,15,0.6666666666666666,0.5083090928679164,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.6927816901408451,False,228,500,121,287
0,42,16,0.6666666666666666,0.508066688213747,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.5642605633802817,False,415,313,226,182
0,42,17,0.6666666666666666,0.5286845507433743,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.625,False,470,258,240,168
0,42,18,0.75,0.4947882999353588,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.5889084507042254,False,426,302,243,165
0,42,19,0.75,0.4979260935143288,40,14,1136,40,14,44,endpoint,cue_type,both,both,all_checkpoints,0.5880281690140845,False,427,301,241,167
