row_id,token_index,token,token_id,char_start,char_end,text_span,in_ambiguous_span,in_cue_span
0,0,G,38,0,1,G,False,False
0,1,idi,12278,1,4,idi,False,False
0,2,y,88,4,5,y,False,False
0,3,ord,539,5,8,ord,False,False
0,4,u,84,8,9,u,False,False
0,5,Ġama,70762,9,13, ama,False,False
0,6,Ġbiz,42378,13,17, biz,False,False
0,7,im,318,17,19,im,False,False
0,8,Ġkir,72630,19,23, kir,False,False
0,9,acÄ±,125403,23,26,acı,False,False
0,10,Ġda,2994,26,29, da,False,False
0,11,Ġda,2994,29,32, da,False,False
0,12,ire,554,32,35,ire,False,False
0,13,ĠdÃ¶nÃ¼ÅŁ,132768,35,41, dönüş,False,False
0,14,ler,1536,41,44,ler,False,False
0,15,inde,26976,44,48,inde,False,False
0,16,Ġev,3637,48,51, ev,False,False
0,17,Ġar,796,51,54, ar,True,False
0,18,ama,3029,54,57,ama,True,False
0,19,Ġni,12788,57,60, ni,False,True
0,20,yet,46392,60,63,yet,False,True
0,21,i,72,63,64,i,False,True
0,22,yle,967,64,67,yle,False,True
0,23,Ġhare,94918,67,72, hare,False,False
0,24,ket,25475,72,75,ket,False,False
0,25,Ġed,1578,75,78, ed,False,False
0,26,iy,16220,78,80,iy,False,False
0,27,ord,539,80,83,ord,False,False
0,28,u,84,83,84,u,False,False
0,29,.,13,84,85,.,False,False
1,0,G,38,0,1,G,False,False
1,1,idi,12278,1,4,idi,False,False
1,2,y,88,4,5,y,False,False
1,3,ord,539,5,8,ord,False,False
1,4,u,84,8,9,u,False,False
1,5,Ġama,70762,9,13, ama,False,False
1,6,Ġbiz,42378,13,17, biz,False,False
1,7,im,318,17,19,im,False,False
1,8,Ġkir,72630,19,23, kir,False,False
1,9,ac,580,23,25,ac,False,False
1,10,Ä±nÄ±n,79626,25,29,ının,False,False
1,11,Ġda,2994,29,32, da,False,False
1,12,Ġda,2994,32,35, da,False,False
1,13,ire,554,35,38,ire,False,False
1,14,ĠdÃ¶nÃ¼ÅŁ,132768,38,44, dönüş,False,False
1,15,ler,1536,44,47,ler,False,False
1,16,inde,26976,47,51,inde,False,False
1,17,Ġni,12788,51,54, ni,False,True
1,18,yet,46392,54,57,yet,False,True
1,19,i,72,57,58,i,False,True
1,20,Ġev,3637,58,61, ev,False,False
1,21,Ġar,796,61,64, ar,True,False
1,22,ama,3029,64,67,ama,True,False
1,23,Ġidi,40660,67,71, idi,False,False
1,24,.,13,71,72,.,False,False
3,0,Ben,24566,0,3,Ben,False,False
3,1,zer,7070,3,6,zer,False,False
3,2,Ġbir,15248,6,10, bir,False,False
3,3,Ġev,3637,10,13, ev,False,False
3,4,Ġto,311,13,16, to,True,False
3,5,pl,500,16,18,pl,True,False
3,6,ama,3029,18,21,ama,True,False
3,7,Ġe,384,21,23, e,False,True
3,8,fs,3848,23,25,fs,False,True
3,9,anes,14655,25,29,anes,False,True
3,10,ine,482,29,32,ine,False,True
3,11,Ġde,409,32,35, de,False,False
3,12,ĠE,468,35,37, E,False,False
3,13,ski,32539,37,40,ski,False,False
3,14,ÅŁehir,126966,40,45,şehir,False,False
3,15,'d,4172,45,47,'d,False,False
3,16,e,68,47,48,e,False,False
3,17,ĠÃ¶ÄŁrenc,127589,48,55, öğrenc,False,False
3,18,iy,16220,55,57,iy,False,False
3,19,ken,2712,57,60,ken,False,False
3,20,ĠÅŁ,22066,60,62, ş,False,False
3,21,ah,1466,62,64,ah,False,False
3,22,it,275,64,66,it,False,False
3,23,Ġol,8328,66,69, ol,False,False
3,24,mu,15128,69,71,mu,False,False
3,25,ÅŁt,47397,71,73,şt,False,False
3,26,um,372,73,75,um,False,False
3,27,.,13,75,76,.,False,False
4,0,Ben,24566,0,3,Ben,False,False
4,1,zer,7070,3,6,zer,False,False
