split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.3666666666666667,0.5096153846153846,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7575757575757576,False,10,3,15,5
0,42,1,0.4666666666666667,0.3557692307692308,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,6,7,15,5
0,42,2,0.4666666666666667,0.3557692307692308,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,6,7,15,5
0,42,3,0.5333333333333333,0.3557692307692308,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,6,7,15,5
0,42,4,0.43333333333333335,0.3423076923076923,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,5,8,14,6
0,42,5,0.7333333333333334,0.4557692307692308,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,6,7,11,9
0,42,6,0.8,0.5846153846153846,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,10,3,12,8
0,42,7,0.9,0.6730769230769231,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,11,2,10,10
0,42,8,0.9,0.6326923076923077,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,8,5,7,13
0,42,9,0.9,0.49423076923076925,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,7,6,11,9
0,42,10,0.9,0.5692307692307692,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,7,6,8,12
0,42,11,0.9,0.5961538461538461,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,9,4,10,10
0,42,12,0.9,0.6211538461538462,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,9,4,9,11
0,42,13,0.9,0.6480769230769231,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,11,2,11,9
0,42,14,0.9,0.6480769230769231,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,11,2,11,9
0,42,15,0.9,0.6730769230769231,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,11,2,10,10
0,42,16,0.9,0.6230769230769231,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,11,2,12,8
0,42,17,0.9,0.6230769230769231,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,11,2,12,8
0,42,18,0.9,0.6230769230769231,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,11,2,12,8
0,42,19,0.9,0.6615384615384616,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.7272727272727273,False,12,1,12,8
0,42,20,0.9,0.6480769230769231,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,11,2,11,9
0,42,21,0.9,0.6730769230769231,23,8,33,23,8,33,ambiguity,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,11,2,10,10
