row_id,prefix_end,prefix_text,current_token,stage,is_full_sentence,label,type,location,computed_location,cue_relative_position,global_prefix_id,sentence,location_matches,ambiguous_lemma,cue_start_lemma,cue_end_lemma,lemma_split,morphological_parsing,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,cue_length_tokens,ambiguity_length_tokens,token_distance,overlap,matched_ambiguous,matched_cue,amb_token_text,cue_token_text,n_tokens,tokens_json,tracked_token_index,tracked_token_text,tracked_region,ambiguity_vector_available
23,13,"Annen emir veriyor pilot olma, okuluna yazıl diye!",!,full_sentence,True,negation,semantic,before,before,-4,422,"Annen emir veriyor pilot olma, okuluna yazıl diye!",True,olma,emir,veriyor,ol-ma,ol-NEG.IMP.2SG,25,29,6,18,6,6,2,4,3,1,4,False,olma,emir veriyor,Ġolma,Ġem ir Ġveriyor,14,"[""An"", ""nen"", ""Ġem"", ""ir"", ""Ġveriyor"", ""Ġpilot"", ""Ġolma"", "","", ""Ġokul"", ""una"", ""Ġyaz"", ""Ä±l"", ""Ġdiye"", ""!""]",13,!,post_cue_or_post_ambiguity,True
36,11,"Seven merak eder, merak etme aşkın doğasında vardır.",.,full_sentence,True,nominalizer,semantic,before,before,-1,648,"Seven merak eder, merak etme aşkın doğasında vardır.",True,etme,merak,merak,et-me,et-NMLZ,24,28,18,23,5,5,4,4,1,1,1,False,etme,merak,Ġetme,Ġmerak,12,"[""Seven"", ""Ġmerak"", ""Ġeder"", "","", ""Ġmerak"", ""Ġetme"", ""ĠaÅŁ"", ""kÄ±n"", ""ĠdoÄŁ"", ""asÄ±nda"", ""ĠvardÄ±r"", "".""]",11,.,post_cue_or_post_ambiguity,True
113,30,"Eğer esnafın öfkesini üzerine çekmek istemiyorsan sana nasihatim belli canım evladım, fiyat kırma.",.,full_sentence,True,negation,semantic,before,before,-11,1602,"Eğer esnafın öfkesini üzerine çekmek istemiyorsan sana nasihatim belli canım evladım, fiyat kırma.",True,kırma,sana,fiyat,kır-ma,kır-NEG.IMP.2SG,92,97,50,91,28,29,17,27,11,2,11,False,kırma,"sana nasihatim belli canım evladım, fiyat",ĠkÄ±r ma,"Ġsana Ġnas ihat im Ġbelli Ġcan Ä±m Ġev ladÄ±m , Ġfiyat",31,"[""E"", ""ÄŁer"", ""Ġes"", ""n"", ""af"", ""Ä±n"", ""ĠÃ¶"", ""f"", ""kes"", ""ini"", ""ĠÃ¼zerine"", ""ĠÃ§ek"", ""mek"", ""Ġistem"", ""iy"", ""ors"", ""an"", ""Ġsana"", ""Ġnas"", ""ihat"", ""im"", ""Ġbelli"", ""Ġcan"", ""Ä±m"", ""Ġev"", ""ladÄ±m"", "","", ""Ġfiyat"", ""ĠkÄ±r"", ""ma"", "".""]",30,.,post_cue_or_post_ambiguity,True
114,16,"Bana bak müdür müsveddesi, Lenin hakkında ileri geri konuşma!",!,full_sentence,True,negation,semantic,before,before,-4,1619,"Bana bak müdür müsveddesi, Lenin hakkında ileri geri konuşma!",True,konuşma,Lenin,geri,konuş-ma,konuş-NEG.IMP.2SG,53,60,27,52,14,15,10,13,4,2,4,False,konuşma,Lenin hakkında ileri geri,ĠkonuÅŁ ma,ĠLenin ĠhakkÄ±nda Ġileri Ġgeri,17,"[""B"", ""ana"", ""Ġbak"", ""ĠmÃ¼dÃ¼r"", ""ĠmÃ¼"", ""s"", ""ved"", ""des"", ""i"", "","", ""ĠLenin"", ""ĠhakkÄ±nda"", ""Ġileri"", ""Ġgeri"", ""ĠkonuÅŁ"", ""ma"", ""!""]",16,!,post_cue_or_post_ambiguity,True
117,35,"Millet eline bayrak verdiyse o bayrağı bırakmayacaksın, döneklik yapma milletin sana en çok ihtiyacı olan şu günlerde.",.,full_sentence,True,negation,semantic,before,before,-13,1691,"Millet eline bayrak verdiyse o bayrağı bırakmayacaksın, döneklik yapma milletin sana en çok ihtiyacı olan şu günlerde.",True,yapma,o,döneklik,yap-ma,yap-NEG.IMP.2SG,65,70,29,64,22,23,9,21,13,2,13,False,yapma,"o bayrağı bırakmayacaksın, döneklik",Ġyap ma,"Ġo Ġbay ra ÄŁÄ± ĠbÄ±rak may ac aks Ä±n , ĠdÃ¶ nek lik",36,"[""M"", ""illet"", ""Ġel"", ""ine"", ""Ġbay"", ""rak"", ""Ġverdi"", ""y"", ""se"", ""Ġo"", ""Ġbay"", ""ra"", ""ÄŁÄ±"", ""ĠbÄ±rak"", ""may"", ""ac"", ""aks"", ""Ä±n"", "","", ""ĠdÃ¶"", ""nek"", ""lik"", ""Ġyap"", ""ma"", ""Ġmillet"", ""in"", ""Ġsana"", ""Ġen"", ""ĠÃ§ok"", ""Ġihtiy"", ""acÄ±"", ""Ġolan"", ""ĠÅŁu"", ""ĠgÃ¼n"", ""lerde"", "".""]",35,.,post_cue_or_post_ambiguity,True
118,39,"Ruhi Su’nun en bilinen eserlerinden biri olan bu parça, Gülcan Altan’ın yeni yorumuyla bugün dinleyiciyle buluştu, dinleme fırsatını kaçırma!",!,full_sentence,True,negation,semantic,before,before,-7,1731,"Ruhi Su’nun en bilinen eserlerinden biri olan bu parça, Gülcan Altan’ın yeni yorumuyla bugün dinleyiciyle buluştu, dinleme fırsatını kaçırma!",True,kaçırma,dinleme,fırsatını,kaçır-ma,kaçır-NEG.IMP.2SG,133,140,115,132,36,38,29,35,7,3,7,False,kaçırma,dinleme fırsatını,ĠkaÃ§ Ä±r ma,Ġdin leme Ġf Ä± rs at Ä±nÄ±,40,"[""Ru"", ""hi"", ""ĠSu"", ""âĢĻnun"", ""Ġen"", ""Ġbilinen"", ""Ġeser"", ""lerinden"", ""Ġbiri"", ""Ġolan"", ""Ġbu"", ""Ġpar"", ""Ã§a"", "","", ""ĠGÃ¼l"", ""can"", ""ĠAlt"", ""an"", ""âĢĻÄ±n"", ""Ġyeni"", ""Ġyorum"", ""uyla"", ""ĠbugÃ¼n"", ""Ġdin"", ""leyici"", ""yle"", ""ĠbuluÅŁ"", ""tu"", "","", ""Ġdin"", ""leme"", ""Ġf"", ""Ä±"", ""rs"", ""at"", ""Ä±nÄ±"", ""ĠkaÃ§"", ""Ä±r"", ""ma"", ""!""]",39,!,post_cue_or_post_ambiguity,True
119,25,"Halka yalan söylemek suçtur, suç işleme, sen ahlaksız bir adam değilsin.",.,full_sentence,True,negation,semantic,before,before,-12,1757,"Halka yalan söylemek suçtur, suç işleme, sen ahlaksız bir adam değilsin.",True,işleme,Halka,suç,işle-me,işle-NEG.IMP.2SG,33,39,0,32,12,13,0,11,12,2,12,False,işleme,"Halka yalan söylemek suçtur, suç",ĠiÅŁ leme,"H alk a Ġy alan ĠsÃ¶ yle mek ĠsuÃ§ tur , ĠsuÃ§",26,"[""H"", ""alk"", ""a"", ""Ġy"", ""alan"", ""ĠsÃ¶"", ""yle"", ""mek"", ""ĠsuÃ§"", ""tur"", "","", ""ĠsuÃ§"", ""ĠiÅŁ"", ""leme"", "","", ""Ġsen"", ""Ġa"", ""hl"", ""aks"", ""Ä±z"", ""Ġbir"", ""Ġadam"", ""ĠdeÄŁ"", ""ils"", ""in"", "".""]",25,.,post_cue_or_post_ambiguity,True
121,35,"Yok solucan olsam beni sever misin, yok 250 kilo olsam beni beğenir misin, adamı delirtme Emine!",!,full_sentence,True,negation,semantic,before,before,-17,1793,"Yok solucan olsam beni sever misin, yok 250 kilo olsam beni beğenir misin, adamı delirtme Emine!",True,delirtme,Yok,adamı,delirt-me,delirt-NEG.IMP.2SG,81,89,36,80,30,32,13,29,17,3,17,False,delirtme,"yok 250 kilo olsam beni beğenir misin, adamı",Ġdel irt me,"Ġyok Ġ 250 Ġkil o Ġo ls am Ġbeni Ġbe ÄŁen ir Ġmis in , Ġadam Ä±",36,"[""Y"", ""ok"", ""Ġsol"", ""uc"", ""an"", ""Ġo"", ""ls"", ""am"", ""Ġbeni"", ""Ġsever"", ""Ġmis"", ""in"", "","", ""Ġyok"", ""Ġ"", ""250"", ""Ġkil"", ""o"", ""Ġo"", ""ls"", ""am"", ""Ġbeni"", ""Ġbe"", ""ÄŁen"", ""ir"", ""Ġmis"", ""in"", "","", ""Ġadam"", ""Ä±"", ""Ġdel"", ""irt"", ""me"", ""ĠEm"", ""ine"", ""!""]",35,!,post_cue_or_post_ambiguity,True
123,17,"ARGE'nin anlamında ben araştırma var diye biliyorum, yanlış mıyım?",?,full_sentence,True,nominalizer,semantic,before,before,-5,1836,"ARGE'nin anlamında ben araştırma var diye biliyorum, yanlış mıyım?",True,araştırma,ARGE'nin,anlamında,araştır-ma,araştır-NMLZ,23,32,0,18,5,5,0,3,4,1,5,False,araştırma,ARGE'nin anlamında,ĠaraÅŁtÄ±rma,ARGE 'nin Ġanlam Ä±nda,18,"[""ARGE"", ""'nin"", ""Ġanlam"", ""Ä±nda"", ""Ġben"", ""ĠaraÅŁtÄ±rma"", ""Ġvar"", ""Ġdiye"", ""Ġb"", ""ili"", ""y"", ""orum"", "","", ""ĠyanlÄ±ÅŁ"", ""Ġm"", ""Ä±y"", ""Ä±m"", ""?""]",17,?,post_cue_or_post_ambiguity,True
124,35,Ertesi günün gazete manşetleri gözünün önüne gelmeye başlamıştı bile: Karabatak davasında dudakları uçuklatan gelişme,me,full_sentence,True,nominalizer,semantic,before,before,-13,1872,Ertesi günün gazete manşetleri gözünün önüne gelmeye başlamıştı bile: Karabatak davasında dudakları uçuklatan gelişme,True,gelişme,Karabatak,uçuklatan,geliş-me,geliş-NMLZ,110,117,70,109,32,35,19,31,13,4,13,False,gelişme,Karabatak davasında dudakları uçuklatan,Ġg eli ÅŁ me,ĠKar ab atak Ġdav asÄ±nda Ġd ud ak larÄ± ĠuÃ§ uk lat an,36,"[""Er"", ""tes"", ""i"", ""ĠgÃ¼n"", ""Ã¼n"", ""Ġgaz"", ""ete"", ""Ġman"", ""ÅŁ"", ""etleri"", ""ĠgÃ¶z"", ""Ã¼nÃ¼n"", ""ĠÃ¶nÃ¼ne"", ""Ġgel"", ""meye"", ""ĠbaÅŁlamÄ±ÅŁ"", ""tÄ±"", ""Ġbile"", "":"", ""ĠKar"", ""ab"", ""atak"", ""Ġdav"", ""asÄ±nda"", ""Ġd"", ""ud"", ""ak"", ""larÄ±"", ""ĠuÃ§"", ""uk"", ""lat"", ""an"", ""Ġg"", ""eli"", ""ÅŁ"", ""me""]",35,me,ambiguity,True
126,24,"Toplumda gördüğün tüm bu hastalıkların sebebi belli, genç adam: yozlaşma.",.,full_sentence,True,nominalizer,semantic,before,before,-13,1915,"Toplumda gördüğün tüm bu hastalıkların sebebi belli, genç adam: yozlaşma.",True,yozlaşma,bu,belli,yozlaş-ma,yozlaş-NMLZ,64,72,22,51,21,23,8,16,9,3,13,False,yozlaşma,bu hastalıkların sebebi belli,Ġy oz laÅŁma,Ġbu Ġhast al Ä±kl ar Ä±n Ġsebe bi Ġbelli,25,"[""Top"", ""lum"", ""da"", ""ĠgÃ¶"", ""rd"", ""Ã¼ÄŁ"", ""Ã¼n"", ""ĠtÃ¼m"", ""Ġbu"", ""Ġhast"", ""al"", ""Ä±kl"", ""ar"", ""Ä±n"", ""Ġsebe"", ""bi"", ""Ġbelli"", "","", ""ĠgenÃ§"", ""Ġadam"", "":"", ""Ġy"", ""oz"", ""laÅŁma"", "".""]",24,.,post_cue_or_post_ambiguity,True
128,28,Ev arkadaşımın katılmayı düşündüğü yarış yüksek atlama ama kontenjan durumuna göre maratona da yazılabilir.,.,full_sentence,True,nominalizer,semantic,before,before,-12,1944,Ev arkadaşımın katılmayı düşündüğü yarış yüksek atlama ama kontenjan durumuna göre maratona da yazılabilir.,True,atlama,Ev,yarış,atla-ma,atla-NMLZ,48,54,0,40,12,13,0,10,11,2,12,False,atlama,Ev arkadaşımın katılmayı düşündüğü yarış,Ġatl ama,Ev ĠarkadaÅŁ Ä±mÄ±n ĠkatÄ± lm ayÄ± ĠdÃ¼ÅŁ Ã¼nd Ã¼ ÄŁÃ¼ ĠyarÄ±ÅŁ,29,"[""Ev"", ""ĠarkadaÅŁ"", ""Ä±mÄ±n"", ""ĠkatÄ±"", ""lm"", ""ayÄ±"", ""ĠdÃ¼ÅŁ"", ""Ã¼nd"", ""Ã¼"", ""ÄŁÃ¼"", ""ĠyarÄ±ÅŁ"", ""ĠyÃ¼ksek"", ""Ġatl"", ""ama"", ""Ġama"", ""Ġkont"", ""en"", ""jan"", ""Ġdurum"", ""una"", ""ĠgÃ¶re"", ""Ġmar"", ""at"", ""ona"", ""Ġda"", ""Ġyaz"", ""Ä±l"", ""abilir"", "".""]",28,.,post_cue_or_post_ambiguity,True
129,28,"Sınav sırasında dikkat etmen gereken en önemli yasak telefon kullanma, bak atılırsın oturumun ortasında, ona göre!",!,full_sentence,True,nominalizer,semantic,before,before,-4,1973,"Sınav sırasında dikkat etmen gereken en önemli yasak telefon kullanma, bak atılırsın oturumun ortasında, ona göre!",True,kullanma,en,yasak,kullan-ma,kullan-NMLZ,61,69,37,52,12,13,8,10,3,2,4,False,kullanma,en önemli yasak,Ġkullan ma,Ġen ĠÃ¶nemli Ġyasak,29,"[""S"", ""Ä±"", ""nav"", ""ĠsÄ±rasÄ±nda"", ""Ġdikkat"", ""Ġet"", ""men"", ""Ġgereken"", ""Ġen"", ""ĠÃ¶nemli"", ""Ġyasak"", ""Ġtelefon"", ""Ġkullan"", ""ma"", "","", ""Ġbak"", ""Ġat"", ""Ä±lÄ±"", ""rs"", ""Ä±n"", ""Ġotur"", ""um"", ""un"", ""Ġort"", ""asÄ±nda"", "","", ""Ġona"", ""ĠgÃ¶re"", ""!""]",28,!,post_cue_or_post_ambiguity,True
130,40,California'ya o dönemde yapılan göçün ardındaki furya altın arama da olsa nüfustaki hareketliliğin kültürel sebeplerini de göz önünde bulundurmak zorundayız.,.,full_sentence,True,nominalizer,semantic,before,before,-7,2014,California'ya o dönemde yapılan göçün ardındaki furya altın arama da olsa nüfustaki hareketliliğin kültürel sebeplerini de göz önünde bulundurmak zorundayız.,True,arama,göçün,furya,ara-ma,ara-NMLZ,60,65,32,53,12,13,5,10,6,2,7,False,arama,göçün ardındaki furya,Ġar ama,ĠgÃ¶Ã§ Ã¼n Ġard Ä±ndaki Ġfury a,41,"[""California"", ""'ya"", ""Ġo"", ""ĠdÃ¶nemde"", ""ĠyapÄ±lan"", ""ĠgÃ¶Ã§"", ""Ã¼n"", ""Ġard"", ""Ä±ndaki"", ""Ġfury"", ""a"", ""ĠaltÄ±n"", ""Ġar"", ""ama"", ""Ġda"", ""Ġolsa"", ""Ġn"", ""Ã¼f"", ""ust"", ""aki"", ""Ġhareket"", ""lili"", ""ÄŁin"", ""ĠkÃ¼"", ""lt"", ""Ã¼"", ""rel"", ""Ġsebe"", ""pler"", ""ini"", ""Ġde"", ""ĠgÃ¶z"", ""ĠÃ¶nÃ¼nde"", ""Ġbul"", ""und"", ""ur"", ""mak"", ""Ġzor"", ""unday"", ""Ä±z"", "".""]",40,.,post_cue_or_post_ambiguity,True
131,27,"Okulun gündemi bu aralar ulusal sınavlar, grip aşısı olma ve yeni spor salonu inşaatı.",.,full_sentence,True,nominalizer,semantic,before,before,-17,2042,"Okulun gündemi bu aralar ulusal sınavlar, grip aşısı olma ve yeni spor salonu inşaatı.",True,olma,Okulun,aşısı,ol-ma,ol-NMLZ,53,57,0,52,17,17,0,16,17,1,17,False,olma,"Okulun gündemi bu aralar ulusal sınavlar, grip aşısı",Ġolma,"Ok ul un Ġg Ã¼nd emi Ġbu Ġar alar Ġul usal ĠsÄ±nav lar , Ġgrip ĠaÅŁ Ä±sÄ±",28,"[""Ok"", ""ul"", ""un"", ""Ġg"", ""Ã¼nd"", ""emi"", ""Ġbu"", ""Ġar"", ""alar"", ""Ġul"", ""usal"", ""ĠsÄ±nav"", ""lar"", "","", ""Ġgrip"", ""ĠaÅŁ"", ""Ä±sÄ±"", ""Ġolma"", ""Ġve"", ""Ġyeni"", ""Ġspor"", ""Ġsalon"", ""u"", ""Ġin"", ""ÅŁ"", ""aat"", ""Ä±"", "".""]",27,.,post_cue_or_post_ambiguity,True
133,26,Ulusumuzun bu yüzyıldaki vebası güçler birliği sorunu ve otoriterleşme olmalı.,.,full_sentence,True,nominalizer,semantic,before,before,-20,2100,Ulusumuzun bu yüzyıldaki vebası güçler birliği sorunu ve otoriterleşme olmalı.,True,otoriterleşme,Ulusumuzun,vebası,otoriterleş-me,otoriterleş-NMLZ,57,70,0,31,20,23,0,13,14,4,20,False,otoriterleşme,Ulusumuzun bu yüzyıldaki vebası,Ġo tor iter leÅŁme,U lus umuz un Ġbu Ġy Ã¼ zy Ä± ld aki Ġv eb asÄ±,27,"[""U"", ""lus"", ""umuz"", ""un"", ""Ġbu"", ""Ġy"", ""Ã¼"", ""zy"", ""Ä±"", ""ld"", ""aki"", ""Ġv"", ""eb"", ""asÄ±"", ""ĠgÃ¼Ã§"", ""ler"", ""Ġbir"", ""liÄŁi"", ""Ġsorunu"", ""Ġve"", ""Ġo"", ""tor"", ""iter"", ""leÅŁme"", ""Ġol"", ""malÄ±"", "".""]",26,.,post_cue_or_post_ambiguity,True
134,23,"Bir sonraki oturumun başlığı 'Yüz yıl önce, yüz yıl sonra: Geleceği tartışma'",',full_sentence,True,nominalizer,semantic,before,before,-21,2124,"Bir sonraki oturumun başlığı 'Yüz yıl önce, yüz yıl sonra: Geleceği tartışma'",True,tartışma,Bir,başlığı,tartış-ma,tartış-NMLZ,68,76,0,28,21,22,0,6,7,2,21,False,tartışma,Bir sonraki oturumun başlığı,ĠtartÄ±ÅŁ ma,Bir Ġsonraki Ġotur um un ĠbaÅŁ lÄ±ÄŁÄ±,24,"[""Bir"", ""Ġsonraki"", ""Ġotur"", ""um"", ""un"", ""ĠbaÅŁ"", ""lÄ±ÄŁÄ±"", ""Ġ'"", ""Y"", ""Ã¼z"", ""ĠyÄ±l"", ""ĠÃ¶nce"", "","", ""ĠyÃ¼z"", ""ĠyÄ±l"", ""Ġsonra"", "":"", ""ĠGe"", ""le"", ""ce"", ""ÄŁi"", ""ĠtartÄ±ÅŁ"", ""ma"", ""'""]",23,',post_cue_or_post_ambiguity,True
