label,type,location,stage,n_prefixes
negation,semantic,after,ambiguity_onset,8
negation,semantic,after,cue_onset,21
negation,semantic,after,full_sentence,4
negation,semantic,after,post_cue,31
negation,semantic,after,pre_ambiguity,42
negation,semantic,before,ambiguity_onset,19
negation,semantic,before,cue_onset,89
negation,semantic,before,full_sentence,9
negation,semantic,before,post_cue,34
negation,semantic,before,post_cue_pre_ambiguity,1
negation,semantic,before,pre_ambiguity,127
negation,syntactic,after,ambiguity_onset,16
negation,syntactic,after,cue_onset,45
negation,syntactic,after,full_sentence,8
negation,syntactic,after,post_ambiguity_pre_cue,1
negation,syntactic,after,post_cue,59
negation,syntactic,after,pre_ambiguity,100
negation,syntactic,before,ambiguity_onset,32
negation,syntactic,before,cue_onset,102
negation,syntactic,before,full_sentence,15
negation,syntactic,before,post_cue,116
negation,syntactic,before,post_cue_pre_ambiguity,1
negation,syntactic,before,pre_ambiguity,105
nominalizer,semantic,after,ambiguity_onset,13
nominalizer,semantic,after,cue_onset,49
nominalizer,semantic,after,full_sentence,6
nominalizer,semantic,after,post_ambiguity_pre_cue,14
nominalizer,semantic,after,post_cue,42
nominalizer,semantic,after,pre_ambiguity,59
nominalizer,semantic,before,ambiguity_onset,26
nominalizer,semantic,before,cue_onset,139
nominalizer,semantic,before,full_sentence,14
nominalizer,semantic,before,post_cue,165
nominalizer,semantic,before,post_cue_pre_ambiguity,29
nominalizer,semantic,before,pre_ambiguity,80
nominalizer,syntactic,after,ambiguity_onset,25
nominalizer,syntactic,after,cue_onset,56
nominalizer,syntactic,after,full_sentence,12
nominalizer,syntactic,after,post_cue,131
nominalizer,syntactic,after,pre_ambiguity,208
nominalizer,syntactic,before,ambiguity_onset,39
nominalizer,syntactic,before,cue_onset,156
nominalizer,syntactic,before,full_sentence,16
nominalizer,syntactic,before,post_cue,109
nominalizer,syntactic,before,post_cue_pre_ambiguity,3
nominalizer,syntactic,before,pre_ambiguity,92
