row_id,sentence,label,type,location,computed_location,location_matches,ambiguous_lemma,cue_start_lemma,cue_end_lemma,lemma_split,morphological_parsing,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,cue_length_tokens,ambiguity_length_tokens,cue_relative_position,token_distance,overlap,matched_ambiguous,matched_cue,amb_token_text,cue_token_text,n_tokens,tokens_json
0,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,after,True,arama,niyetiyle,niyetiyle,ara-ma,ara-NMLZ,52,57,58,67,15,16,17,19,3,2,2,2,False,arama,niyetiyle,Ġar ama,Ġni yet iyle,26,"[""G"", ""idi"", ""y"", ""ord"", ""u"", ""Ġama"", ""Ġbizim"", ""Ġkir"", ""acÄ±"", ""Ġda"", ""Ġda"", ""ire"", ""ĠdÃ¶nÃ¼ÅŁ"", ""lerinde"", ""Ġev"", ""Ġar"", ""ama"", ""Ġni"", ""yet"", ""iyle"", ""Ġhareket"", ""Ġed"", ""iy"", ""ord"", ""u"", "".""]"
1,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti ev arama idi.,nominalizer,syntactic,before,before,True,arama,niyeti,niyeti,ara-ma,ara-NMLZ,62,67,52,58,19,20,15,17,3,2,-4,4,False,arama,niyeti,Ġar ama,Ġni yet i,23,"[""G"", ""idi"", ""y"", ""ord"", ""u"", ""Ġama"", ""Ġbizim"", ""Ġkir"", ""ac"", ""Ä±nÄ±n"", ""Ġda"", ""Ġda"", ""ire"", ""ĠdÃ¶nÃ¼ÅŁ"", ""lerinde"", ""Ġni"", ""yet"", ""i"", ""Ġev"", ""Ġar"", ""ama"", ""Ġidi"", "".""]"
3,Benzer bir ev toplama efsanesine de Eskişehir'de öğrenciyken şahit olmuştum.,nominalizer,syntactic,after,after,True,toplama,efsanesine,efsanesine,topla-ma,topla-NMLZ,14,21,22,32,4,5,6,9,4,2,2,2,False,toplama,efsanesine,Ġtopl ama,Ġe fs anes ine,26,"[""Ben"", ""zer"", ""Ġbir"", ""Ġev"", ""Ġtopl"", ""ama"", ""Ġe"", ""fs"", ""anes"", ""ine"", ""Ġde"", ""ĠE"", ""ski"", ""ÅŁehir"", ""'d"", ""e"", ""ĠÃ¶ÄŁrenc"", ""iy"", ""ken"", ""ĠÅŁah"", ""it"", ""Ġol"", ""mu"", ""ÅŁt"", ""um"", "".""]"
4,"Benzer bir ev toplama, ben bu efsaneye Eskişehir'de öğrenciyken şahit olmuştum.",negation,syntactic,after,after,True,toplama,ben,efsaneye,topla-ma,topla-NEG.IMP.2SG,14,21,23,38,4,5,7,12,6,2,3,3,False,toplama,ben bu efsaneye,Ġtopl ama,Ġben Ġbu Ġe fs an eye,28,"[""Ben"", ""zer"", ""Ġbir"", ""Ġev"", ""Ġtopl"", ""ama"", "","", ""Ġben"", ""Ġbu"", ""Ġe"", ""fs"", ""an"", ""eye"", ""ĠE"", ""ski"", ""ÅŁehir"", ""'d"", ""e"", ""ĠÃ¶ÄŁrenc"", ""iy"", ""ken"", ""ĠÅŁah"", ""it"", ""Ġol"", ""mu"", ""ÅŁt"", ""um"", "".""]"
7,İşte evlilik öncesi nişan bozma gibi ilişkilerle ilgili görgü kurallarının Frenkçe kitaplarda yazanı.,nominalizer,syntactic,after,after,True,bozma,gibi,kurallarının,boz-ma,boz-NMLZ,26,31,32,74,9,10,11,22,12,2,2,2,False,bozma,gibi ilişkilerle ilgili görgü kurallarının,Ġboz ma,Ġgibi ĠiliÅŁk iler le Ġilgili ĠgÃ¶ rg Ã¼ Ġkur all ar Ä±nÄ±n,33,"[""Ä°ÅŁ"", ""te"", ""Ġev"", ""lilik"", ""ĠÃ¶nc"", ""esi"", ""Ġni"", ""ÅŁ"", ""an"", ""Ġboz"", ""ma"", ""Ġgibi"", ""ĠiliÅŁk"", ""iler"", ""le"", ""Ġilgili"", ""ĠgÃ¶"", ""rg"", ""Ã¼"", ""Ġkur"", ""all"", ""ar"", ""Ä±nÄ±n"", ""ĠF"", ""ren"", ""k"", ""Ã§e"", ""Ġkit"", ""apl"", ""arda"", ""Ġyaz"", ""anÄ±"", "".""]"
8,İşte evlilik öncesi nişan bozma gibi ilişkilerle ilgili mevzuları açıklığa kavuşturan yazarın Frenkçe kitapları.,nominalizer,semantic,after,after,True,bozma,gibi,mevzuları,boz-ma,boz-NMLZ,26,31,32,65,9,10,11,19,9,2,2,2,False,bozma,gibi ilişkilerle ilgili mevzuları,Ġboz ma,Ġgibi ĠiliÅŁk iler le Ġilgili Ġmev z ular Ä±,37,"[""Ä°ÅŁ"", ""te"", ""Ġev"", ""lilik"", ""ĠÃ¶nc"", ""esi"", ""Ġni"", ""ÅŁ"", ""an"", ""Ġboz"", ""ma"", ""Ġgibi"", ""ĠiliÅŁk"", ""iler"", ""le"", ""Ġilgili"", ""Ġmev"", ""z"", ""ular"", ""Ä±"", ""ĠaÃ§"", ""Ä±kl"", ""Ä±ÄŁ"", ""a"", ""Ġkav"", ""u"", ""ÅŁt"", ""uran"", ""Ġyazar"", ""Ä±n"", ""ĠF"", ""ren"", ""k"", ""Ã§e"", ""Ġkitap"", ""larÄ±"", "".""]"
11,"İşte evlilik öncesi biriyle çıkma gibi emirleri yağdıran kadın, Frenkçe kitaplar yazıyor.",negation,semantic,after,after,True,çıkma,gibi,emirleri,çık-ma,çık-NEG.IMP.2SG,28,33,34,47,8,9,10,13,4,2,2,2,False,çıkma,gibi emirleri,ĠÃ§Ä±k ma,Ġgibi Ġem ir leri,28,"[""Ä°ÅŁ"", ""te"", ""Ġev"", ""lilik"", ""ĠÃ¶nc"", ""esi"", ""Ġbir"", ""iyle"", ""ĠÃ§Ä±k"", ""ma"", ""Ġgibi"", ""Ġem"", ""ir"", ""leri"", ""ĠyaÄŁ"", ""dÄ±"", ""ran"", ""ĠkadÄ±n"", "","", ""ĠF"", ""ren"", ""k"", ""Ã§e"", ""Ġkitap"", ""lar"", ""Ġyaz"", ""Ä±yor"", "".""]"
13,"Abone, kendisine verilen yeni SIM kartını, taşıma zamanı bildirildiğinde makinesine takarak kullanmaya başlıyor.",nominalizer,syntactic,after,after,True,taşıma,zamanı,bildirildiğinde,taşı-ma,taşı-NMLZ,43,49,50,72,10,12,13,17,5,3,3,3,False,taşıma,zamanı bildirildiğinde,Ġta ÅŁÄ± ma,Ġzaman Ä± Ġbildir ildi ÄŁinde,28,"[""Ab"", ""one"", "","", ""Ġkendisine"", ""Ġverilen"", ""Ġyeni"", ""ĠSIM"", ""Ġkart"", ""Ä±nÄ±"", "","", ""Ġta"", ""ÅŁÄ±"", ""ma"", ""Ġzaman"", ""Ä±"", ""Ġbildir"", ""ildi"", ""ÄŁinde"", ""Ġmak"", ""ines"", ""ine"", ""Ġtak"", ""arak"", ""Ġkullan"", ""maya"", ""ĠbaÅŁ"", ""lÄ±yor"", "".""]"
14,"Abone, kendisine verilen yeni SIM kartını, bu kelimenin sık sık tekrar edildiği mesajlarla taşıma zamanı bildirildiğinde makinesine takarak kullanmaya başlıyor.",nominalizer,semantic,after,after,True,taşıma,zamanı,bildirildiğinde,taşı-ma,taşı-NMLZ,91,97,98,120,21,23,24,28,5,3,3,3,False,taşıma,zamanı bildirildiğinde,Ġta ÅŁÄ± ma,Ġzaman Ä± Ġbildir ildi ÄŁinde,39,"[""Ab"", ""one"", "","", ""Ġkendisine"", ""Ġverilen"", ""Ġyeni"", ""ĠSIM"", ""Ġkart"", ""Ä±nÄ±"", "","", ""Ġbu"", ""Ġkel"", ""imen"", ""in"", ""ĠsÄ±k"", ""ĠsÄ±k"", ""Ġtekrar"", ""Ġedildi"", ""ÄŁi"", ""Ġmesaj"", ""larla"", ""Ġta"", ""ÅŁÄ±"", ""ma"", ""Ġzaman"", ""Ä±"", ""Ġbildir"", ""ildi"", ""ÄŁinde"", ""Ġmak"", ""ines"", ""ine"", ""Ġtak"", ""arak"", ""Ġkullan"", ""maya"", ""ĠbaÅŁ"", ""lÄ±yor"", "".""]"
17,"Abone, kendisine verilen yeni SIM kartını, sakın bu kartı taşıma diye uyarılmadığı için makinesine takarak kullanmaya başlıyor.",negation,syntactic,before,before,True,taşıma,bu,için,taşı-ma,taşı-NEG.IMP.2SG,58,64,49,87,15,17,12,23,12,3,-3,3,True,taşıma,bu kartı taşıma diye uyarılmadığı için,Ġta ÅŁÄ± ma,Ġbu Ġkart Ä± Ġta ÅŁÄ± ma Ġdiye Ġuyar Ä± lm adÄ±ÄŁÄ± ĠiÃ§in,34,"[""Ab"", ""one"", "","", ""Ġkendisine"", ""Ġverilen"", ""Ġyeni"", ""ĠSIM"", ""Ġkart"", ""Ä±nÄ±"", "","", ""Ġsak"", ""Ä±n"", ""Ġbu"", ""Ġkart"", ""Ä±"", ""Ġta"", ""ÅŁÄ±"", ""ma"", ""Ġdiye"", ""Ġuyar"", ""Ä±"", ""lm"", ""adÄ±ÄŁÄ±"", ""ĠiÃ§in"", ""Ġmak"", ""ines"", ""ine"", ""Ġtak"", ""arak"", ""Ġkullan"", ""maya"", ""ĠbaÅŁ"", ""lÄ±yor"", "".""]"
