split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.7333333333333334,0.6730769230769231,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,11,2,10,10
0,42,1,0.7333333333333334,0.7230769230769231,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,11,2,8,12
0,42,2,0.7333333333333334,0.6346153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,10,3,10,10
0,42,3,0.7333333333333334,0.5846153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,10,3,12,8
0,42,4,0.7333333333333334,0.5211538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,9,4,13,7
0,42,5,0.7333333333333334,0.6096153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,10,3,11,9
0,42,6,0.7333333333333334,0.6730769230769231,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,11,2,10,10
0,42,7,0.7333333333333334,0.5711538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,9,4,11,9
0,42,8,0.7333333333333334,0.5576923076923077,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,8,5,10,10
0,42,9,0.7333333333333334,0.5826923076923077,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,8,5,9,11
0,42,10,0.7333333333333334,0.5826923076923077,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,8,5,9,11
0,42,11,0.7333333333333334,0.6076923076923078,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,8,5,8,12
0,42,12,0.7333333333333334,0.6076923076923078,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,8,5,8,12
0,42,13,0.7333333333333334,0.6961538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,9,4,6,14
0,42,14,0.7333333333333334,0.6961538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,9,4,6,14
0,42,15,0.7333333333333334,0.7096153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,7,13
0,42,16,0.7333333333333334,0.7096153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,7,13
0,42,17,0.7333333333333334,0.7096153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,7,13
0,42,18,0.7333333333333334,0.6596153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,10,3,9,11
0,42,19,0.7333333333333334,0.6846153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,10,3,8,12
0,42,20,0.7333333333333334,0.6846153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,10,3,8,12
0,42,21,0.7333333333333334,0.6846153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,10,3,8,12
0,42,22,0.7333333333333334,0.7230769230769231,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,11,2,8,12
0,42,23,0.7333333333333334,0.773076923076923,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,11,2,6,14
0,42,24,0.7333333333333334,0.7480769230769231,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,11,2,7,13
0,42,25,0.7333333333333334,0.698076923076923,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,11,2,9,11
0,42,26,0.7333333333333334,0.6596153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,10,3,9,11
0,42,27,0.7333333333333334,0.7096153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,7,13
0,42,28,0.7333333333333334,0.7346153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,6,14
0,42,29,0.7333333333333334,0.7480769230769231,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,11,2,7,13
0,42,30,0.7333333333333334,0.7346153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,6,14
0,42,31,0.7333333333333334,0.7346153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,6,14
0,42,32,0.7333333333333334,0.7346153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,6,14
0,42,33,0.7333333333333334,0.7346153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,6,14
0,42,34,0.7333333333333334,0.773076923076923,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,11,2,6,14
0,42,35,0.7333333333333334,0.773076923076923,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,11,2,6,14
0,42,36,0.7333333333333334,0.7211538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,9,4,5,15
0,42,37,0.5666666666666667,0.6961538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,9,4,6,14
0,42,38,0.5666666666666667,0.7846153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,10,3,4,16
0,42,39,0.7333333333333334,0.7596153846153846,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,10,3,5,15
0,42,40,0.5666666666666667,0.7346153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,6,14
0,42,41,0.5666666666666667,0.7346153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,6,14
0,42,42,0.5666666666666667,0.7346153846153847,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,6,14
0,42,43,0.5666666666666667,0.6961538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,9,4,6,14
0,42,44,0.5666666666666667,0.6711538461538462,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,9,4,7,13
0,42,45,0.5666666666666667,0.6711538461538462,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,9,4,7,13
0,42,46,0.5666666666666667,0.6076923076923078,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,8,5,8,12
0,42,47,0.5666666666666667,0.6461538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,9,4,8,12
1,43,0,0.75,0.6346153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,10,3,10,10
1,43,1,0.75,0.5596153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,10,3,13,7
1,43,2,0.875,0.6230769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,11,2,12,8
1,43,3,0.875,0.5596153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,10,3,13,7
1,43,4,0.875,0.5480769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.7878787878787878,False,11,2,15,5
1,43,5,0.875,0.5480769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.7878787878787878,False,11,2,15,5
1,43,6,0.875,0.6230769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,11,2,12,8
1,43,7,0.875,0.5596153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,10,3,13,7
1,43,8,0.875,0.5711538461538461,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,9,4,11,9
1,43,9,0.875,0.6480769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,11,2,11,9
1,43,10,0.875,0.6865384615384615,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,12,1,11,9
1,43,11,0.875,0.6346153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,10,3,10,10
1,43,12,0.875,0.6346153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,10,3,10,10
1,43,13,0.875,0.7480769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,11,2,7,13
1,43,14,0.875,0.7096153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,7,13
1,43,15,0.875,0.6846153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,10,3,8,12
1,43,16,0.875,0.7480769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,11,2,7,13
1,43,17,0.875,0.6346153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,10,3,10,10
1,43,18,0.875,0.6730769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,11,2,10,10
1,43,19,0.875,0.6346153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,10,3,10,10
1,43,20,0.875,0.6865384615384615,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.696969696969697,False,12,1,11,9
1,43,21,0.875,0.6730769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,11,2,10,10
1,43,22,0.875,0.698076923076923,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,11,2,9,11
1,43,23,0.875,0.7480769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,11,2,7,13
1,43,24,0.875,0.7480769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,11,2,7,13
1,43,25,0.875,0.698076923076923,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,11,2,9,11
1,43,26,0.875,0.6846153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,10,3,8,12
1,43,27,0.875,0.6596153846153847,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,10,3,9,11
1,43,28,0.875,0.6846153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,10,3,8,12
1,43,29,0.875,0.6596153846153847,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,10,3,9,11
1,43,30,0.875,0.6596153846153847,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,10,3,9,11
1,43,31,0.875,0.7230769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,11,2,8,12
1,43,32,0.875,0.6846153846153846,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,10,3,8,12
1,43,33,0.875,0.7346153846153847,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,10,3,6,14
1,43,34,0.875,0.7615384615384615,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,12,1,8,12
1,43,35,0.875,0.7230769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,11,2,8,12
1,43,36,0.875,0.8115384615384615,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,12,1,6,14
1,43,37,0.875,0.8115384615384615,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,12,1,6,14
1,43,38,0.875,0.8365384615384616,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,12,1,5,15
1,43,39,0.875,0.7230769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,11,2,8,12
1,43,40,0.875,0.7480769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,11,2,7,13
1,43,41,0.875,0.7480769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,11,2,7,13
1,43,42,0.875,0.7865384615384616,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,12,1,7,13
1,43,43,0.875,0.7365384615384616,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,12,1,9,11
1,43,44,0.875,0.698076923076923,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,11,2,9,11
1,43,45,0.875,0.698076923076923,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,11,2,9,11
1,43,46,0.875,0.698076923076923,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,11,2,9,11
1,43,47,0.875,0.6480769230769231,24,7,33,24,7,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6666666666666666,False,11,2,11,9
2,44,0,0.6666666666666666,0.6076923076923078,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,8,5,8,12
2,44,1,0.6666666666666666,0.6461538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,9,4,8,12
2,44,2,1.0,0.5961538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,9,4,10,10
2,44,3,0.8333333333333333,0.5961538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5757575757575758,False,9,4,10,10
2,44,4,0.8333333333333333,0.5711538461538461,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6060606060606061,False,9,4,11,9
2,44,5,0.8333333333333333,0.5461538461538462,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.6363636363636364,False,9,4,12,8
2,44,6,0.8333333333333333,0.49423076923076925,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5454545454545454,False,7,6,11,9
2,44,7,0.6666666666666666,0.4557692307692308,23,8,33,23,8,33,endpoint,interpretation,syntactic,semantic,full_sentence,0.5151515151515151,False,6,7,11,9
