split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.2976190476190476,0.46975599589585737,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5640535372848948,False,73,111,155,184
0,42,1,0.2976190476190476,0.3871601256893677,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5430210325047801,False,73,111,211,128
0,42,2,0.2976190476190476,0.3871601256893677,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5430210325047801,False,73,111,211,128
0,42,3,0.5357142857142857,0.3670562395793254,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5908221797323135,False,77,107,232,107
0,42,4,0.6071428571428572,0.3595132743362832,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5678776290630975,False,46,138,180,159
0,42,5,0.5357142857142857,0.3727154674874952,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.51434034416826,False,59,125,195,144
0,42,6,0.4642857142857143,0.4741807746569193,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5697896749521989,False,73,111,152,187
0,42,7,0.6071428571428572,0.44188469924329865,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5659655831739961,False,66,118,161,178
0,42,8,0.6904761904761905,0.44700686161344105,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5889101338432122,False,63,121,152,187
0,42,9,0.6904761904761905,0.5163283955367449,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6787762906309751,False,63,121,105,234
0,42,10,0.6785714285714286,0.5540592535590612,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.6787762906309751,False,72,112,96,243
0,42,11,0.8452380952380952,0.7075557906887264,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5353728489483748,False,135,49,108,231
0,42,12,0.8452380952380952,0.6526628831601898,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5946462715105163,False,111,73,101,238
0,42,13,0.8452380952380952,0.6695123124278568,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5621414913957935,False,121,63,108,231
0,42,14,0.7738095238095238,0.6945860587405412,41,13,523,41,13,43,ambiguity,interpretation,both,both,all_checkpoints,0.5946462715105163,False,121,63,91,248
