row_id,prefix_end,prefix_text,current_token,stage,is_full_sentence,label,type,location,computed_location,cue_relative_position,global_prefix_id,sentence,location_matches,ambiguous_lemma,cue_start_lemma,cue_end_lemma,lemma_split,morphological_parsing,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,cue_length_tokens,ambiguity_length_tokens,token_distance,overlap,matched_ambiguous,matched_cue,amb_token_text,cue_token_text,n_tokens,tokens_json,tracked_token_index,tracked_token_text,tracked_region,ambiguity_vector_available
1,18,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti ev arama idi.,.,full_sentence,True,nominalizer,syntactic,before,before,-3,40,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti ev arama idi.,True,arama,niyeti,niyeti,ara-ma,ara-NMLZ,62,67,52,58,15,16,12,13,2,2,3,False,arama,niyeti,▁ara ma,▁ni yeti,19,"[""G"", ""idi"", ""yordu"", ""▁ama"", ""▁bizim"", ""▁k"", ""irac"", ""ının"", ""▁da"", ""▁daire"", ""▁dönüş"", ""lerinde"", ""▁ni"", ""yeti"", ""▁ev"", ""▁ara"", ""ma"", ""▁idi"", "".""]",18,.,post_cue_or_post_ambiguity,True
17,34,"Abone, kendisine verilen yeni SIM kartını, sakın bu kartı taşıma diye uyarılmadığı için makinesine takarak kullanmaya başlıyor.",.,full_sentence,True,negation,syntactic,before,before,-3,286,"Abone, kendisine verilen yeni SIM kartını, sakın bu kartı taşıma diye uyarılmadığı için makinesine takarak kullanmaya başlıyor.",True,taşıma,bu,için,taşı-ma,taşı-NEG.IMP.2SG,58,64,49,87,17,18,14,24,11,2,3,True,taşıma,bu kartı taşıma diye uyarılmadığı için,▁taşı ma,▁bu ▁kart ı ▁taşı ma ▁diye ▁uyar ıl mad ığı ▁için,35,"[""Ab"", ""one"", "","", ""▁kend"", ""isine"", ""▁ver"", ""ilen"", ""▁yeni"", ""▁SIM"", ""▁kart"", ""ını"", "","", ""▁sak"", ""ın"", ""▁bu"", ""▁kart"", ""ı"", ""▁taşı"", ""ma"", ""▁diye"", ""▁uyar"", ""ıl"", ""mad"", ""ığı"", ""▁için"", ""▁mak"", ""ines"", ""ine"", ""▁tak"", ""arak"", ""▁kullan"", ""maya"", ""▁baş"", ""lıyor"", "".""]",34,.,post_cue_or_post_ambiguity,True
28,33,Ayrıca aralarında Türklerin de bulunduğu bir briç takımları varmış ve briç oynarken sen Türkçe konuşma diye çok çaba harcamışlar.,.,full_sentence,True,negation,syntactic,before,before,-2,542,Ayrıca aralarında Türklerin de bulunduğu bir briç takımları varmış ve briç oynarken sen Türkçe konuşma diye çok çaba harcamışlar.,True,konuşma,sen,sen,konuş-ma,konuş-NEG.IMP.2SG,95,102,84,87,23,24,21,21,1,2,2,False,konuşma,sen,▁konuş ma,▁sen,34,"[""Ayrıca"", ""▁ar"", ""alar"", ""ında"", ""▁Türk"", ""lerin"", ""▁de"", ""▁bulundu"", ""ğu"", ""▁bir"", ""▁bri"", ""ç"", ""▁takı"", ""mları"", ""▁var"", ""mış"", ""▁ve"", ""▁bri"", ""ç"", ""▁oyn"", ""arken"", ""▁sen"", ""▁Türkçe"", ""▁konuş"", ""ma"", ""▁diye"", ""▁çok"", ""▁ç"", ""aba"", ""▁har"", ""cam"", ""ış"", ""lar"", "".""]",33,.,post_cue_or_post_ambiguity,True
35,16,"Seven merak eder ama sen sakın merak etme, bunaltırsın kızı.",.,full_sentence,True,negation,syntactic,before,before,-5,605,"Seven merak eder ama sen sakın merak etme, bunaltırsın kızı.",True,etme,ama,merak,et-me,et-NEG.IMP.2SG,37,41,17,36,8,8,3,7,5,1,5,False,etme,ama sen sakın merak,▁etme,▁ama ▁sen ▁sak ın ▁merak,17,"[""Seven"", ""▁merak"", ""▁eder"", ""▁ama"", ""▁sen"", ""▁sak"", ""ın"", ""▁merak"", ""▁etme"", "","", ""▁bun"", ""alt"", ""ırs"", ""ın"", ""▁k"", ""ızı"", "".""]",16,.,post_cue_or_post_ambiguity,True
37,29,Dönemin Tercüman gazetesinde sistemli olarak Pol-Der aleyhine bir karalama kampanyası yürütülüyordu.,.,full_sentence,True,nominalizer,syntactic,before,before,-7,647,Dönemin Tercüman gazetesinde sistemli olarak Pol-Der aleyhine bir karalama kampanyası yürütülüyordu.,True,karalama,Pol-Der,bir,karala-ma,karala-NMLZ,66,74,45,65,19,20,12,18,7,2,7,False,karalama,Pol-Der aleyhine bir,▁kar alama,▁Pol - Der ▁a ley hine ▁bir,30,"[""D"", ""öne"", ""min"", ""▁Ter"", ""cü"", ""man"", ""▁gaz"", ""etes"", ""inde"", ""▁sistem"", ""li"", ""▁olarak"", ""▁Pol"", ""-"", ""Der"", ""▁a"", ""ley"", ""hine"", ""▁bir"", ""▁kar"", ""alama"", ""▁kamp"", ""any"", ""ası"", ""▁yür"", ""üt"", ""ül"", ""üy"", ""ordu"", "".""]",29,.,post_cue_or_post_ambiguity,True
50,8,Durup durup kıza elleşme!,!,full_sentence,True,negation,syntactic,before,before,-4,822,Durup durup kıza elleşme!,True,elleşme,Durup,kıza,elleş-me,elleş-NEG.IMP.2SG,17,24,6,16,6,7,2,5,4,2,4,False,elleşme,durup kıza,▁elle şme,▁dur up ▁kı za,9,"[""Dur"", ""up"", ""▁dur"", ""up"", ""▁kı"", ""za"", ""▁elle"", ""şme"", ""!""]",8,!,post_cue_or_post_ambiguity,True
54,18,"Geceleyin belanı arama , haydi nerden geldinse bas git oraya .",▁.,full_sentence,True,negation,syntactic,before,before,-2,883,"Geceleyin belanı arama , haydi nerden geldinse bas git oraya .",True,arama,belanı,belanı,ara-ma,ara-NEG.IMP.2SG,17,22,10,16,5,6,3,4,2,2,2,False,arama,belanı,▁ara ma,▁bel anı,19,"[""Ge"", ""ce"", ""leyin"", ""▁bel"", ""anı"", ""▁ara"", ""ma"", ""▁,"", ""▁hay"", ""di"", ""▁ner"", ""den"", ""▁geld"", ""inse"", ""▁bas"", ""▁git"", ""▁or"", ""aya"", ""▁.""]",18,▁.,post_cue_or_post_ambiguity,True
56,13,Her dilbere meyil verme / Ya sevilir ya sevilmez,mez,full_sentence,True,negation,syntactic,before,before,-5,915,Her dilbere meyil verme / Ya sevilir ya sevilmez,True,verme,Her,meyil,ver-me,ver-NEG.IMP.2SG,18,23,0,17,5,5,0,4,5,1,5,False,verme,Her dilbere meyil,▁verme,Her ▁dil bere ▁me yil,14,"[""Her"", ""▁dil"", ""bere"", ""▁me"", ""yil"", ""▁verme"", ""▁/"", ""▁Ya"", ""▁sevi"", ""lir"", ""▁ya"", ""▁se"", ""vil"", ""mez""]",13,mez,post_cue_or_post_ambiguity,True
59,20,"Bu kolay işi güçleştirme yavrum ; arkadaş ol benimle , sırdaş ol .",▁.,full_sentence,True,negation,syntactic,before,before,-3,954,"Bu kolay işi güçleştirme yavrum ; arkadaş ol benimle , sırdaş ol .",True,güçleştirme,Bu,işi,güçleştir-me / güçleş-tir-me,güçleştir-NEG.IMP.2SG / güçleş-CAUS-NEG.IMP.2SG,13,24,0,12,3,5,0,2,3,3,3,False,güçleştirme,Bu kolay işi,▁güç leştir me,Bu ▁kolay ▁işi,21,"[""Bu"", ""▁kolay"", ""▁işi"", ""▁güç"", ""leştir"", ""me"", ""▁y"", ""av"", ""rum"", ""▁;"", ""▁arkadaş"", ""▁ol"", ""▁benim"", ""le"", ""▁,"", ""▁s"", ""ır"", ""da"", ""ş"", ""▁ol"", ""▁.""]",20,▁.,post_cue_or_post_ambiguity,True
63,18,"Ali'ye dedim zaten sen baban gibi olma diye, duyduysa ne ala.",.,full_sentence,True,negation,syntactic,before,before,-4,1010,"Ali'ye dedim zaten sen baban gibi olma diye, duyduysa ne ala.",True,olma,sen,gibi,ol-ma,ol-NEG.IMP.2SG,34,38,19,33,10,10,6,9,4,1,4,False,olma,sen baban gibi,▁olma,▁sen ▁bab an ▁gibi,19,"[""Ali"", ""'"", ""ye"", ""▁de"", ""dim"", ""▁zaten"", ""▁sen"", ""▁bab"", ""an"", ""▁gibi"", ""▁olma"", ""▁diye"", "","", ""▁duy"", ""du"", ""ysa"", ""▁ne"", ""▁ala"", "".""]",18,.,post_cue_or_post_ambiguity,True
