row_id,token_index,token,token_id,char_start,char_end,text_span,in_ambiguous_span,in_cue_span
0,0,G,235319,0,1,G,False,False
0,1,idi,10032,1,4,idi,False,False
0,2,yordu,169282,4,9,yordu,False,False
0,3,▁ama,15625,9,13, ama,False,False
0,4,▁bizim,150116,13,19, bizim,False,False
0,5,▁kira,98734,19,24, kira,False,False
0,6,cı,27902,24,26,cı,False,False
0,7,▁da,1260,26,29, da,False,False
0,8,▁daire,155351,29,35, daire,False,False
0,9,▁dönüş,133660,35,41, dönüş,False,False
0,10,lerinde,113793,41,48,lerinde,False,False
0,11,▁ev,2628,48,51, ev,False,False
0,12,▁ara,20535,51,55, ara,True,False
0,13,ma,534,55,57,ma,True,False
0,14,▁ni,2798,57,60, ni,False,True
0,15,yeti,108388,60,64,yeti,False,True
0,16,yle,1895,64,67,yle,False,True
0,17,▁hareket,120402,67,75, hareket,False,False
0,18,▁ed,1531,75,78, ed,False,False
0,19,iy,24179,78,80,iy,False,False
0,20,ordu,60084,80,84,ordu,False,False
0,21,.,235265,84,85,.,False,False
1,0,G,235319,0,1,G,False,False
1,1,idi,10032,1,4,idi,False,False
1,2,yordu,169282,4,9,yordu,False,False
1,3,▁ama,15625,9,13, ama,False,False
1,4,▁bizim,150116,13,19, bizim,False,False
1,5,▁k,638,19,21, k,False,False
1,6,irac,94741,21,25,irac,False,False
1,7,ının,26430,25,29,ının,False,False
1,8,▁da,1260,29,32, da,False,False
1,9,▁daire,155351,32,38, daire,False,False
1,10,▁dönüş,133660,38,44, dönüş,False,False
1,11,lerinde,113793,44,51,lerinde,False,False
1,12,▁ni,2798,51,54, ni,False,True
1,13,yeti,108388,54,58,yeti,False,True
1,14,▁ev,2628,58,61, ev,False,False
1,15,▁ara,20535,61,65, ara,True,False
1,16,ma,534,65,67,ma,True,False
1,17,▁idi,167227,67,71, idi,False,False
1,18,.,235265,71,72,.,False,False
3,0,Ben,7510,0,3,Ben,False,False
3,1,zer,3004,3,6,zer,False,False
